Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,58/21,4/5,45/15,-,-,9/1
2024,33/14,-,28/14,-,-,5/0
2023,21/2,-,17/1,-,-,4/1
2019,0/1,0/1,-,-,-,-
2018,4/4,4/4,-,-,-,-
