Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
14.07.,Choinski J.,2,,,,,,7,2,73%,90% (27/30),55% (6/11),100% (2/2),54% (22/41),50% (12/24),50% (4/8),80% (33/41),52% (34/65),63% (67/106),8,0,100% (8/8),57% (4/7),80% (12/15),"['2', '0', '5', '1']","['2', '1', '5', '2']",[],[],[],1.04
14.07.,Balciunas M.,0,,,,,,2,1,63%,46% (19/41),50% (12/24),50% (4/8),10% (3/30),45% (5/11),0% (0/2),48% (31/65),20% (8/41),37% (39/106),2,0,43% (3/7),0% (0/8),20% (3/15),[],[],[],[],[],7.50
09.07.,Visker N.,2,,,,,,[],"['2', '0', '6', '4']","['5', '3']",[],[],1.91
09.07.,Balciunas M.,1,,,,,,"['2', '0', '4', '0']","['3', '4']",[],[],[],1.79
01.07.,Sigsgaard C.,2,,,,,,"['1', '0', '4', '1']","['5', '4']",[],[],[],1.34
01.07.,Balciunas M.,0,,,,,,[],[],[],[],[],3.04
27.06.,Overbeck C. E.,2,,,,,,"['1', '2', '4', '3']","['1', '0', '4', '1', '6', '1']","['1', '1', '3', '3', '4', '4', '6', '4']",[],[],1.41
27.06.,Balciunas M.,1,,,,,,"['2', '0', '4', '4', '7', '5']",[],"['1', '0', '2', '1', '4', '3']",[],[],2.73
26.06.,Balciunas M.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '5', '4']",[],[],[],1.63
26.06.,Martin T.,0,,,,,,[],"['4', '4']",[],[],[],2.16
25.06.,Balciunas M.,2,,,,,,"['3', '5', '5', '5', '7', '5']","['2', '0', '4', '0', '5', '3', '6', '4']",[],[],[],-
25.06.,Khoeblal E.,0,,,,,,"['1', '0', '5', '2']","['1', '4', '3', '4', '4', '5']",[],[],[],-
18.06.,Bailly G. A.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['3', '1', '5', '1']",[],[],[],1.18
18.06.,Balciunas M.,0,,,,,,[],[],[],[],[],4.43
22.05.,Gima S.,2,,,,,,"['6', '5']","['2', '1', '4', '3']",[],[],[],1.55
22.05.,Balciunas M.,0,,,,,,[],"['3', '3', '4', '4']",[],[],[],2.32
21.05.,Balciunas M.,1,,,,,,"['2', '1']","['3', '1']",[],[],[],3.62
21.05.,Boitan G. A.,0,,,,,,"['2', '2']",[],[],[],[],1.25
14.05.,Van Der Meerschen M.,2,,,,,,"['4', '4', '7', '5']","['2', '0', '5', '1']",[],[],[],1.75
14.05.,Balciunas M.,0,,,,,,"['4', '3']","['2', '5']",[],[],[],1.96
01.05.,Feldbausch K.,2,,,,,,"['3', '2', '4', '3', '6', '3']","['3', '1', '4', '4', '5', '5']","['1', '1', '3', '1', '4', '2']",[],[],1.07
01.05.,Balciunas M.,1,,,,,,"['3', '3']","['2', '3', '4', '3', '5', '4', '6', '5']","['1', '0', '2', '3']",[],[],6.60
30.04.,Balciunas M.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '5', '2']",[],[],[],-
30.04.,Thurner N.,0,,,,,,[],[],[],[],[],-
12.03.,Wallin O.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['2', '0']",[],[],[],1.23
12.03.,Balciunas M.,0,,,,,,[],[],[],[],[],3.81
07.03.,Carboni L.,2,,,,,,"['1', '0', '2', '3', '4', '3', '5', '4']","['1', '0', '4', '1']",[],[],[],1.14
07.03.,Balciunas M.,0,,,,,,"['1', '1', '3', '1', '4', '4']",[],[],[],[],5.00
05.03.,Balciunas M.,2,,,,,,"['3', '1', '5', '1', '6', '2']","['2', '0', '4', '0', '6', '2']",[],[],[],1.04
05.03.,Roe Flannelly J.,0,,,,,,"['2', '5']","['2', '5']",[],[],[],8.10
06.02.,Alkaya M.,2,,,,,,"['3', '2', '6', '3']","['6', '4']",[],[],[],1.32
06.02.,Balciunas M.,0,,,,,,[],[],[],[],[],3.14
05.02.,Balciunas M.,2,,,,,,"['3', '2', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.55
05.02.,Lobanov A.,0,,,,,,[],[],[],[],[],2.32
29.01.,Van Der Meerschen M.,2,,,,,,"['3', '2']","['1', '0', '3', '0']","['2', '0', '3', '1']",[],[],1.47
29.01.,Balciunas M.,1,,,,,,"['4', '4', '6', '4']","['1', '3', '5', '5']","['1', '2']",[],[],2.53
05.09.2024,Mujakic A.,2,,,,,,"['2', '1', '6', '5']","['4', '3']",[],[],[],2.07
05.09.2024,Balciunas M.,0,,,,,,"['5', '5']",[],[],[],[],1.70
29.08.2024,Khoeblal E.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '4', '5']","['1', '0', '4', '1', '6', '3']",[],[],1.85
29.08.2024,Balciunas M.,1,,,,,,[],"['1', '1', '5', '3', '6', '4']","['2', '4']",[],[],1.97
27.08.2024,Balciunas M.,2,,,,,,"['1', '3', '3', '3', '5', '3']","['2', '5']","['2', '1', '4', '1', '5', '2']",[],[],2.34
27.08.2024,Lootsma N.,1,,,,,,"['1', '0', '3', '0']","['3', '1', '5', '1', '6', '2']","['2', '4']",[],[],1.62
14.07.2024,Moller E.,2,,,,,,0,1,68%,84% (27/32),47% (7/15),100% (2/2),34% (13/38),72% (18/25),40% (4/10),72% (34/47),49% (31/63),59% (65/110),7,0,100% (8/8),50% (4/8),75% (12/16),"['1', '0', '3', '0']","['2', '1', '5', '2']",[],[],[],1.06
14.07.2024,Balciunas M.,0,,,,,,1,5,60%,66% (25/38),28% (7/25),60% (6/10),16% (5/32),53% (8/15),0% (0/2),51% (32/63),28% (13/47),41% (45/110),3,0,50% (4/8),0% (0/8),25% (4/16),[],[],[],[],[],8.40
