Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,373/326,18/20,323/254,24/39,5/7,3/6
2024,19/13,-,19/13,-,-,-
2023,19/26,0/2,17/21,2/1,-,0/2
2022,22/22,0/3,19/14,3/5,-,-
2021,10/11,0/2,10/8,0/1,-,-
2020,5/5,-,5/4,0/1,-,-
2019,39/31,2/2,33/23,3/5,-,1/1
2018,25/28,2/2,21/23,1/2,-,1/1
2017,29/20,1/1,27/17,0/1,-,1/1
2016,31/25,-,29/21,2/2,0/1,0/1
2015,33/26,-,31/22,0/2,2/2,-
2014,19/21,-,18/15,1/5,0/1,-
2013,32/23,3/2,18/11,9/8,2/2,-
2012,23/19,4/1,17/15,2/3,-,-
2011,28/25,0/1,27/21,0/2,1/1,-
2010,24/20,4/2,19/17,1/1,-,-
2009,13/9,2/2,11/7,-,-,-
2008,2/2,-,2/2,-,-,-
