Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,110/84,16/16,83/60,-,10/7,1/1
2024,31/24,5/6,21/14,-,4/3,1/1
2023,23/20,6/4,12/14,-,5/2,-
2022,36/17,-,36/17,-,-,-
2021,11/10,5/6,6/4,-,-,-
2020,4/5,-,3/4,-,1/1,-
2019,3/3,-,3/3,-,-,-
2018,2/3,-,2/2,-,0/1,-
2017,0/2,-,0/2,-,-,-
