Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,40/34,10/6,30/28,-,-,-
2024,22/13,4/2,18/11,-,-,-
2023,10/8,2/1,8/7,-,-,-
2022,5/7,1/1,4/6,-,-,-
2019,3/4,3/2,0/2,-,-,-
2017,0/2,-,0/2,-,-,-
