Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,48/46,0/1,36/27,7/11,5/7,-
2024,36/20,-,29/15,2/3,5/2,-
2023,4/17,0/1,4/10,0/4,0/2,-
2022,8/9,-,3/2,5/4,0/3,-
