Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,85/63,75/54,10/9,-,-,-
2024,19/18,19/18,-,-,-,-
2023,31/17,28/13,3/4,-,-,-
2022,25/18,21/16,4/2,-,-,-
2021,10/9,7/6,3/3,-,-,-
2017,0/1,0/1,-,-,-,-
