Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,812/480,253/138,291/178,165/105,87/48,16/11
2024,30/25,11/12,15/7,0/2,4/4,-
2023,27/32,9/11,9/9,7/8,2/4,-
2022,34/25,13/10,8/6,9/8,2/1,2/0
2021,26/20,9/7,6/5,8/5,3/2,0/1
2020,22/15,0/1,14/7,8/7,-,-
2019,17/17,5/6,6/5,2/3,4/3,-
2018,38/23,13/7,8/7,11/6,5/2,1/1
2017,37/19,8/3,12/7,10/6,6/3,1/0
2016,35/18,9/4,11/8,10/3,3/2,2/1
2015,46/20,10/3,18/10,12/4,6/3,-
2014,33/19,2/1,18/10,7/4,4/3,2/1
2013,51/24,7/5,24/8,13/8,5/3,2/0
2012,45/23,11/4,15/10,15/6,4/3,-
2011,36/21,12/5,17/9,2/3,4/2,1/2
2010,43/23,21/8,14/12,6/3,2/0,-
2009,23/16,3/2,13/9,7/5,-,-
2008,32/22,7/5,16/11,2/2,6/3,1/1
2007,49/24,12/6,22/11,6/3,7/3,2/1
2006,38/22,9/5,11/9,11/4,6/2,1/2
2005,48/12,28/4,5/3,3/2,11/2,1/1
2004,33/26,17/14,7/7,6/3,3/2,-
2003,42/23,15/10,19/6,8/7,-,-
2002,27/11,22/5,3/2,2/3,0/1,-
