Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,706/509,385/221,240/196,41/40,24/36,16/16
2024,26/19,13/7,6/8,4/2,3/2,-
2023,36/31,21/17,11/9,3/2,1/3,-
2022,33/29,21/15,8/10,0/2,4/2,-
2021,16/21,9/9,6/10,-,1/2,-
2020,17/13,8/4,9/8,0/1,-,-
2019,21/24,19/17,2/6,-,-,0/1
2018,25/13,10/6,13/4,0/1,-,2/2
2017,35/25,14/9,18/9,0/1,1/4,2/2
2016,21/24,7/7,13/13,-,1/2,0/2
2015,49/29,22/7,22/15,1/3,2/2,2/2
2014,35/24,19/6,13/14,3/1,0/2,0/1
2013,49/24,20/5,21/13,4/3,0/1,4/2
2012,55/22,28/3,22/12,1/2,2/3,2/2
2011,32/29,13/7,13/14,3/3,3/3,0/2
2010,37/29,11/10,18/14,3/2,4/3,1/0
2009,26/29,8/9,14/13,2/4,1/3,1/0
2008,38/25,16/11,14/10,5/2,1/2,2/0
2007,41/28,35/16,5/8,1/4,-,-
2006,45/26,32/16,6/4,7/5,0/1,-
2005,31/17,25/15,6/2,-,-,-
2004,11/11,8/10,-,3/1,-,-
2003,9/9,9/9,-,-,-,-
2002,18/8,17/6,-,1/1,0/1,-
