Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,84/81,59/55,24/21,1/4,0/1,-
2024,24/21,20/16,4/4,-,0/1,-
2023,18/18,10/12,8/5,0/1,-,-
2022,28/17,23/16,5/0,0/1,-,-
2021,8/17,1/6,6/10,1/1,-,-
2020,0/1,0/1,-,-,-,-
2019,5/6,4/3,1/2,0/1,-,-
2018,1/1,1/1,-,-,-,-
