Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,21/19,0/1,16/15,5/3,-,-
2023,6/7,-,3/6,3/1,-,-
2022,12/9,0/1,10/6,2/2,-,-
2021,3/3,-,3/3,-,-,-
