Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,183/158,105/80,50/46,28/31,-,0/1
2024,9/8,8/5,1/2,0/1,-,-
2023,31/9,23/6,6/2,2/1,-,-
2022,15/20,10/14,2/3,3/3,-,-
2021,12/11,7/5,2/4,3/2,-,-
2020,3/3,-,3/2,-,-,0/1
2019,4/7,2/3,0/3,2/1,-,-
2018,24/15,8/3,14/8,2/4,-,-
2017,7/3,5/2,-,2/1,-,-
2016,5/5,3/3,-,2/2,-,-
2015,10/7,5/3,5/3,0/1,-,-
2014,0/3,0/1,0/1,0/1,-,-
2013,15/14,4/3,11/9,0/2,-,-
2012,1/4,1/2,0/1,0/1,-,-
2011,13/12,6/5,3/3,4/4,-,-
2010,18/15,13/9,3/4,2/2,-,-
2009,7/8,3/5,-,4/3,-,-
2008,5/8,3/6,-,2/2,-,-
2007,4/5,4/5,-,-,-,-
2006,0/1,-,0/1,-,-,-
