Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,63/87,21/37,42/48,-,-,0/2
2024,19/18,8/10,11/7,-,-,0/1
2023,21/24,2/4,19/20,-,-,-
2022,16/26,9/13,7/12,-,-,0/1
2021,6/15,1/6,5/9,-,-,-
2019,0/3,0/3,-,-,-,-
2018,1/1,1/1,-,-,-,-
