Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,33/29,7/5,25/21,-,1/3,-
2024,16/11,-,15/9,-,1/2,-
2023,9/12,1/1,8/10,-,0/1,-
2022,8/6,6/4,2/2,-,-,-
