Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
17.08.,Santillan A.,2,,,,,,"['1', '1', '3', '3', '7', '5']","['4', '2']",[],[],[],20.5
17.08.,Zhang T.,0,,,,,,"['1', '0', '3', '2']",[],[],[],[],1.59
16.08.,Zhang T.,2,,,,,,[],"['1', '0', '6', '3']",[],[],[],20.5
16.08.,Shin W.,0,,,,,,[],[],[],[],[],1.60
15.08.,Zhang T.,2,,,,,,"['2', '0', '5', '1']","['1', '0', '3', '0', '5', '0']",[],[],[],19.5
15.08.,Kumasaka T.,0,,,,,,[],"['1', '5']",[],[],[],1.60
14.08.,Zhang T.,2,,,,,,"['2', '0', '5', '1']","['1', '2']","['2', '0', '4', '0', '6', '0']",[],[],21.0
14.08.,Hazawa S.,1,,,,,,[],"['2', '0', '5', '3']",[],[],[],1.66
13.08.,Zhang T.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['2', '0']",[],[],[],-
13.08.,Han X.,0,,,,,,"['2', '3']",[],[],[],[],-
10.07.,Ozolins K.,2,,,,,,"['4', '2']","['4', '3']",[],[],[],1.36
10.07.,Zhang T.,0,,,,,,"['4', '5']",[],[],[],[],2.94
09.07.,Zhang T.,2,,,,,,[],"['1', '0', '5', '2', '6', '3']",[],[],[],1.17
09.07.,Hongyu Y.,0,,,,,,[],"['3', '5']",[],[],[],4.58
02.07.,Wang A.,2,,,,,,"['3', '2']","['3', '2', '6', '3']",[],[],[],2.37
02.07.,Zhang T.,0,,,,,,[],[],[],[],[],1.53
24.06.,Xiao L.,2,,,,,,"['1', '0', '4', '1']","['2', '1', '5', '2']",[],[],[],1.99
24.06.,Zhang T.,0,,,,,,[],[],[],[],[],1.73
17.06.,Leong M. W. K.,1,,,,,,"['3', '2', '6', '3']","['2', '0']",[],[],[],2.18
17.06.,Zhang T.,0,,,,,,[],[],[],[],[],1.62
24.05.,Isomura K.,2,,,,,,"['1', '0', '4', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],2.00
24.05.,Zhang T.,0,,,,,,"['1', '1', '5', '5']",[],[],[],[],1.72
23.05.,Zhang T.,2,,,,,,"['6', '4']","['3', '1']",[],[],[],1.47
23.05.,Fukuda S.,0,,,,,,[],[],[],[],[],2.53
22.05.,Zhang T.,2,,,,,,"['3', '1', '6', '4']","['3', '1', '6', '2']",[],[],[],1.23
22.05.,Sun Qian,0,,,,,,"['2', '3']",[],[],[],[],3.79
20.05.,Zhang T.,2,,,,,,"['2', '0', '4', '0', '6', '0']","['2', '0', '5', '1']",[],[],[],1.02
20.05.,Wong T. F.,0,,,,,,[],[],[],[],[],10.20
14.05.,Ianin N.,2,,,,,,"['1', '0', '2', '1']","['1', '0', '4', '1']",[],[],[],-
14.05.,Zhang T.,0,,,,,,"['1', '1']",[],[],[],[],-
09.05.,Sasikumar M.,2,,,,,,"['1', '0']","['4', '2', '6', '4']",[],[],[],1.79
09.05.,Zhang T.,0,,,,,,"['4', '4']","['4', '5']",[],[],[],1.91
08.05.,Zhang T.,2,,,,,,"['5', '3']","['1', '0', '3', '0']",[],[],[],1.23
08.05.,Hongyu Y.,0,,,,,,[],[],[],[],[],3.81
