Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,162/167,14/28,148/139,-,-,-
2024,7/10,1/1,6/9,-,-,-
2023,23/21,0/1,23/20,-,-,-
2022,6/5,-,6/5,-,-,-
2020,0/2,-,0/2,-,-,-
2019,5/15,2/5,3/10,-,-,-
2018,21/24,6/5,15/19,-,-,-
2017,25/18,2/3,23/15,-,-,-
2016,24/25,3/7,21/18,-,-,-
2015,32/21,0/2,32/19,-,-,-
2014,12/18,0/3,12/15,-,-,-
2013,7/8,0/1,7/7,-,-,-
