Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,487/373,406/307,65/49,15/15,1/2,-
2024,19/15,17/11,1/3,1/1,-,-
2023,32/35,25/28,7/6,-,0/1,-
2022,47/34,44/31,2/2,-,1/1,-
2021,28/33,27/32,-,1/1,-,-
2020,31/17,25/14,6/3,-,-,-
2019,30/36,23/27,2/2,5/7,-,-
2018,65/28,61/24,4/4,-,-,-
2017,46/25,41/22,4/2,1/1,-,-
2016,50/32,30/23,16/7,4/2,-,-
2015,38/28,28/19,10/9,-,-,-
2014,35/28,29/23,3/2,3/3,-,-
2013,33/22,33/22,-,-,-,-
2012,26/24,16/16,10/8,-,-,-
2011,4/9,4/8,0/1,-,-,-
2010,1/4,1/4,-,-,-,-
2009,2/3,2/3,-,-,-,-
