Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

CHALLENGER MEN - SINGLES :  Cordenons (Italy),clay,header
18.06. 13:40,Varillas J. P.,1,6,4,4,,,7,4,52%,59% (24/41),42% (16/38),36% (4/11),44% (24/54),61% (20/33),41% (7/17),10,51% (40/79),51% (44/87),51% (84/166),4,50% (7/14),50% (7/14),50% (14/28),"['2', '0', '4', '0', '5', '1', '6', '2']","['2', '4', '4', '4']","['4', '4']",[],[],1.57
CHALLENGER MEN - SINGLES :  Sassuolo (Italy) - Qualification,clay,header
17.06. 16:00,Bonadio R.,2,6,6,,,,2,0,62%,83% (20/24),80% (12/15),0% (0/0),39% (13/33),52% (12/23),36% (4/11),7,82% (32/39),45% (25/56),60% (57/95),3,100% (8/8),44% (4/9),71% (12/17),"['3', '2', '6', '3']","['3', '1', '6', '2']",[],[],[],1.91
17.06. 16:00,Gomez F. A.,0,3,2,,,,1,4,59%,61% (20/33),48% (11/23),64% (7/11),17% (4/24),20% (3/15),0% (0/0),4,55% (31/56),18% (7/39),40% (38/95),1,56% (5/9),0% (0/8),29% (5/17),[],[],[],[],[],1.83
16.06. 17:00,Bonadio R.,2,7^7,3,6,,,3,4,54%,71% (39/55),47% (22/47),73% (11/15),20% (9/44),65% (28/43),80% (4/5),11,60% (61/102),43% (37/87),52% (98/189),5,73% (11/15),27% (4/15),50% (15/30),"['2', '0']","['1', '0']","['3', '3', '5', '3']",[],[],1.12
16.06. 17:00,Bondioli F.,1,6^2,6,3,,,8,8,51%,80% (35/44),35% (15/43),20% (1/5),29% (16/55),53% (25/47),27% (4/15),6,57% (50/87),40% (41/102),48% (91/189),5,73% (11/15),27% (4/15),50% (15/30),"['4', '5']","['2', '2', '4', '2']","['1', '0']",[],[],5.69
CHALLENGER MEN - SINGLES :  Perugia (Italy),clay,header
11.06. 13:35,Bonadio R.,0,5,5,,,,3,0,75%,61% (42/69),52% (12/23),70% (7/10),19% (9/48),62% (13/21),33% (1/3),8,59% (54/92),32% (22/69),47% (76/161),3,75% (9/12),8% (1/12),42% (10/24),[],"['3', '4']",[],[],[],3.76
11.06. 13:35,De Jong J.,2,7,7,,,,3,2,70%,81% (39/48),38% (8/21),67% (2/3),39% (27/69),48% (11/23),30% (3/10),11,68% (47/69),41% (38/92),53% (85/161),5,92% (11/12),25% (3/12),58% (14/24),"['7', '5']","['2', '0', '7', '5']",[],[],[],1.25
CHALLENGER MEN - SINGLES :  Perugia (Italy) - Qualification,clay,header
