Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,46/34,9/17,31/15,6/2,-,-
2024,5/9,3/6,2/3,-,-,-
2023,25/20,6/11,19/9,-,-,-
2022,16/5,-,10/3,6/2,-,-
