Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,342/265,40/46,253/175,30/27,13/14,6/3
2024,23/19,1/4,16/12,6/1,-,0/2
2023,32/18,5/2,19/12,2/3,-,6/1
2022,25/31,4/5,16/16,5/6,0/4,-
2021,28/25,6/8,17/12,2/3,3/2,-
2020,15/16,1/4,10/10,4/2,-,-
2019,28/23,2/1,21/17,4/4,1/1,-
2018,24/23,1/5,20/17,3/1,-,-
2017,28/29,7/6,17/17,2/3,2/3,-
2016,48/27,7/7,33/14,1/2,7/4,-
2015,36/24,1/2,34/21,1/1,-,-
2014,26/13,5/2,21/10,0/1,-,-
2013,21/8,-,21/8,-,-,-
2012,5/3,-,5/3,-,-,-
2011,3/3,-,3/3,-,-,-
2010,0/3,-,0/3,-,-,-
