Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES M15 Sunrise,clay,header
CHALLENGER MEN - SINGLES Cleveland (USA),hard,header
28.01.,Escobedo E.,0,,,,,,2,3,58%,58% (22/38),46% (13/28),56% (5/9),19% (5/26),29% (5/17),50% (1/2),53% (35/66),23% (10/43),41% (45/109),4,1,60% (6/10),11% (1/9),37% (7/19),[],[],[],[],[],0
28.01.,Spizzirri E.,2,,,,,,4,1,60%,81% (21/26),71% (12/17),50% (1/2),42% (16/38),54% (15/28),44% (4/9),77% (33/43),47% (31/66),59% (64/109),6,0,89% (8/9),40% (4/10),63% (12/19),[],[],[],[],[],0
ITF MEN - SINGLES M25 Ithaca,hard,header
CHALLENGER MEN - SINGLES Manzanillo (Mexico),hard,header
30.11.2024,Escobedo E.,0,,,,,,4,1,71%,73% (43/59),42% (10/24),67% (2/3),14% (7/49),50% (8/16),0% (0/1),64% (53/83),23% (15/65),46% (68/148),2,0,91% (10/11),0% (0/11),45% (10/22),[],[],[],[],[],0
30.11.2024,Draxl L.,2,,,,,,11,0,75%,86% (42/49),50% (8/16),100% (1/1),27% (16/59),58% (14/24),33% (1/3),77% (50/65),36% (30/83),54% (80/148),8,0,100% (11/11),9% (1/11),55% (12/22),[],[],[],[],[],0
29.11.2024,Escobedo E.,2,,,,,,11,6,61%,80% (49/61),44% (17/39),75% (6/8),24% (12/51),49% (19/39),50% (3/6),66% (66/100),34% (31/90),51% (97/190),6,2,87% (13/15),20% (3/15),53% (16/30),[],[],[],[],[],0
29.11.2024,Geerts M.,1,,,,,,12,3,57%,76% (39/51),51% (20/39),50% (3/6),20% (12/61),56% (22/39),25% (2/8),66% (59/90),34% (34/100),49% (93/190),4,0,80% (12/15),13% (2/15),47% (14/30),[],[],[],[],[],0
27.11.2024,Escobedo E.,2,,,,,,3,0,68%,81% (22/27),77% (10/13),0% (0/0),35% (13/37),65% (17/26),50% (4/8),75% (27/36),50% (29/58),60% (56/94),6,0,86% (6/7),50% (4/8),67% (10/15),[],[],[],[],[],0
27.11.2024,Hussey G.,0,,,,,,4,3,59%,65% (24/37),35% (9/26),50% (4/8),19% (5/27),23% (3/13),0% (0/0),50% (29/58),25% (9/36),40% (38/94),4,2,50% (4/8),14% (1/7),33% (5/15),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Puerto Vallarta (Mexico),hard,header
20.11.2024,Escobedo E.,1,,,,,,7,2,58%,72% (36/50),61% (22/36),57% (4/7),30% (22/73),43% (17/40),20% (2/10),67% (58/86),35% (39/113),49% (97/199),3,1,80% (12/15),13% (2/15),47% (14/30),[],[],[],[],[],0
