Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,20/12,-,5/4,3/5,-,12/3
2024,3/3,-,3/3,-,-,-
2023,9/6,-,2/1,3/4,-,4/1
2022,8/3,-,-,0/1,-,8/2
