Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,31/28,18/16,13/12,-,-,-
2024,14/11,10/8,4/3,-,-,-
2023,12/14,3/5,9/9,-,-,-
2022,5/3,5/3,-,-,-,-
