Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,163/97,59/46,77/38,10/8,-,17/5
2024,17/20,14/15,2/3,1/2,-,-
2023,39/27,13/14,15/8,7/4,-,4/1
2022,58/24,22/8,35/12,1/1,-,0/3
2021,28/12,1/1,20/10,1/1,-,6/0
2020,14/9,8/6,2/2,-,-,4/1
2019,2/2,0/1,2/1,-,-,-
2018,5/3,1/1,1/2,-,-,3/0
