Time,UTR Pro Tennis Series 3,S,1,2,3,4,5,header
21. 06. 2025 01:00,Hayduke II A.,,,,,,,0,1.70,1.90
21. 06. 2025 -,Lee W.,,,,,,,0,,
21. 06. 2025 01:00,Goldammer T.,,,,,,,0,1.25,3.28
21. 06. 2025 -,Perkowski E.,,,,,,,0,,
21. 06. 2025 03:00,Martirosian D.,,,,,,,0,1.90,1.72
21. 06. 2025 -,Tallakson A.,,,,,,,0,,
21. 06. 2025 20:50,Rusher A.,,,,,,,0,1.55,2.20
21. 06. 2025 -,Ubri Y.,,,,,,,0,,
21. 06. 2025 21:40,Lee W.,,,,,,,0,2.40,1.45
21. 06. 2025 -,Chung J.,,,,,,,0,,
21. 06. 2025 23:15,Sancilio R.,,,,,,,0,1.68,1.98
21. 06. 2025 -,Shokry E.,,,,,,,0,,
Time,UTR Pro Tennis Series 9,S,1,2,3,4,5,header
21. 06. 2025 09:00,Inagawa D.,,,,,,,0,2.20,1.55
21. 06. 2025 -,Inagawa R.,,,,,,,0,,
Time,Halle,S,1,2,3,4,5,header
21. 06. 2025 18:35,Bublik A.,2,4,7,6,,,0,1.58,2.37
21. 06. 2025 -,Khachanov K. (8),1,6,6^5,4,,,0,,
21. 06. 2025 15:15,Medvedev D. (3),2,7,6^1,6,,,0,2.12,1.72
21. 06. 2025 -,Zverev A. (2),1,6^3,7,4,,,0,,
Time,Queen's Club,S,1,2,3,4,5,header
21. 06. 2025 17:05,Alcaraz C. (1),2,6,6,,,,0,1.10,7.16
21. 06. 2025 -,Bautista-Agut R.,0,4,4,,,,0,,
21. 06. 2025 14:10,Lehecka J.,2,6,4,7,,,0,2.71,1.46
21. 06. 2025 -,Draper J. (2),1,4,6,5,,,0,,
Time,Nottingham challenger,S,1,2,3,4,5,header
21. 06. 2025 18:25,Cilic M. (2),2,6,6,,,,0,1.51,2.46
21. 06. 2025 -,Mochizuki S.,0,2,3,,,,0,,
Time,Sassuolo challenger,S,1,2,3,4,5,header
21. 06. 2025 17:10,Taberner C. (1),2,7,6,,,,0,2.34,1.56
21. 06. 2025 -,Lajovic D. (3),0,6^1,2,,,,0,,
Time,Poznan challenger,S,1,2,3,4,5,header
21. 06. 2025 14:10,Misolic F. (4),2,6,6,,,,0,1.45,2.67
21. 06. 2025 -,Svrcina D. (3),0,2,0,,,,0,,
Time,Santa Cruz challenger,S,1,2,3,4,5,header
21. 06. 2025 23:50,Barrena A.,2,5,7,6,,,0,1.25,3.50
21. 06. 2025 -,Roncadelli F.,1,7,5,3,,,0,,
21. 06. 2025 02:10,Roncadelli F.,2,7,4,6,,,0,3.51,1.27
21. 06. 2025 -,Reis Da Silva J. (8),1,6^3,6,4,,,0,,
21. 06. 2025 00:10,Barrena A.,2,6,6,,,,0,1.18,4.57
21. 06. 2025 -,La Serna J.,0,3,0,,,,0,,
