11. 05. 2025 -,Rome,S,1,2,3,4,5,H2H,H,A,header
11. 05. 2025 11:10,Fils A. (13),2,2,6,6,,,0,1.69,2.16
11. 05. 2025 -,Tsitsipas S. (18),1,6,4,2,,,0,,
11. 05. 2025 11:10,Medvedev D. (10),2,6,6,,,,0,1.36,3.14
11. 05. 2025 -,Popyrin A. (24),0,4,1,,,,0,,
11. 05. 2025 13:05,Moutet C.,2,7,5,7,,,0,4.68,1.19
11. 05. 2025 -,Rune H. (9),1,5,7,6^4,,,0,,
11. 05. 2025 13:45,Musetti L. (8),2,6,6,,,,0,1.17,4.98
11. 05. 2025 -,Nakashima B. (28),0,4,3,,,,0,,
11. 05. 2025 15:25,Zverev A. (2),2,6,6,,,,0,1.05,10.38
11. 05. 2025 -,Gaubas V.,0,4,0,,,,0,,
11. 05. 2025 15:55,Draper J. (5),2,6,6,,,,0,1.11,6.67
11. 05. 2025 -,Kopriva V.,0,4,3,,,,0,,
11. 05. 2025 17:15,Khachanov K. (23),2,6,6,,,,0,1.42,2.85
11. 05. 2025 -,Passaro F.,0,3,0,,,,0,,
11. 05. 2025 20:55,Djere L.,,,,,,,0,,8.04
11. 05. 2025 -,Alcaraz C. (3),,,,,,,0,,
11. 05. 2025 -,Wuxi challenger,S,1,2,3,4,5,H2H,H,A,header
11. 05. 2025 09:10,Sun F.,2,7,6,,,,0,2.27,1.58
11. 05. 2025 -,Bolt A.,0,6^4,4,,,,0,,
11. 05. 2025 -,Francavilla challenger,S,1,2,3,4,5,H2H,H,A,header
11. 05. 2025 15:10,Maestrelli F.,2,6,6,,,,0,3.25,1.31
11. 05. 2025 -,Vacherot V.,0,4,4,,,,0,,
11. 05. 2025 -,Prague 2 challenger,S,1,2,3,4,5,H2H,H,A,header
11. 05. 2025 13:10,Misolic F.,2,6,6,,,,0,1.62,2.21
11. 05. 2025 -,Den Ouden G.,0,4,0,,,,0,,
11. 05. 2025 -,Santos challenger,S,1,2,3,4,5,H2H,H,A,header
11. 05. 2025 16:05,Pucinelli De Almeida M.,2,7,7,,,,0,1.50,2.49
11. 05. 2025 -,Kicker N.,0,5,5,,,,0,,
11. 05. 2025 18:35,Guillen Meza A. (1),2,6,7,,,,0,1.34,3.11
11. 05. 2025 -,Roncadelli F.,0,2,6^4,,,,0,,
11. 05. 2025 21:00,Guillen Meza A. (1),,,,,,,0,,2.29
11. 05. 2025 -,Pucinelli De Almeida M.,,,,,,,0,,
11. 05. 2025 -,Futures 2025,S,1,2,3,4,5,H2H,H,A,header
11. 05. 2025 --:--,Edmund K.,,,,,,,0,,
11. 05. 2025 -,Molcan A.,,,,,,,0,,
11. 05. 2025 --:--,Karlovskiy E.,,,,,,,0,,
11. 05. 2025 -,Ilkel C.,,,,,,,0,,
11. 05. 2025 04:20,Kubler J.,2,6,6,,,,0,1.25,3.47
11. 05. 2025 -,Bai Y.,0,1,1,,,,0,,
11. 05. 2025 10:00,Topo M.,2,6,3,6,,,0,1.51,2.42
11. 05. 2025 -,Nedic A.,1,1,6,3,,,0,,
11. 05. 2025 12:10,Broom C.,2,6,6,,,,0,1.65,2.12
11. 05. 2025 -,Andaloro F.,0,4,3,,,,0,,
11. 05. 2025 10:50,Wessels L.,2,3,7,6,,,0,1.58,2.24
