12. 05. 2025 -,Rome WTA,S,1,2,3,4,5,H2H,H,A,header
12. 05. 2025 11:05,Stearns P.,2,6,3,7,,,0,1.97,1.83
12. 05. 2025 -,Osaka N.,1,4,6,6^4,,,0,,
12. 05. 2025 13:25,Shnaider D. (13),2,6,6,,,,0,1.76,2.07
12. 05. 2025 -,Mertens E. (25),0,2,3,,,,0,,
12. 05. 2025 14:15,Paolini J. (6),2,7,6,,,,0,1.67,2.19
12. 05. 2025 -,Ostapenko J. (17),0,5,2,,,,0,,
12. 05. 2025 15:20,Gauff C. (4),2,6,6,,,,0,1.28,3.73
12. 05. 2025 -,Raducanu E.,0,1,2,,,,0,,
12. 05. 2025 16:00,Svitolina E. (16),2,6,6,,,,0,1.75,2.08
12. 05. 2025 -,Collins D. (29),0,4,2,,,,0,,
12. 05. 2025 16:45,Andreeva M. (7),2,5,6,6,,,0,1.29,3.60
12. 05. 2025 -,Tauson C. (22),1,7,3,2,,,0,,
12. 05. 2025 18:45,Zheng Q. (8),2,7,6,,,,0,1.26,3.90
12. 05. 2025 -,Andreescu B.,0,5,1,,,,0,,
12. 05. 2025 20:45,Sabalenka A. (1),,,,,,,0,,1.30
12. 05. 2025 -,Kostyuk M.,,,,,,,0,,
12. 05. 2025 -,Paris WTA,S,1,2,3,4,5,H2H,H,A,header
12. 05. 2025 13:05,Sierra S.,2,6,6,,,,0,1.77,1.98
12. 05. 2025 -,Golubic V.,0,2,0,,,,0,,
12. 05. 2025 13:05,Saville D.,2,6,1,7,,,0,1.97,1.78
12. 05. 2025 -,Romero Gormaz L.,1,4,6,5,,,0,,
12. 05. 2025 14:40,Kartal S. (5),2,6,3,6,,,0,1.20,4.29
12. 05. 2025 -,Ito A.,1,2,6,3,,,0,,
12. 05. 2025 16:00,Sasnovich A.,2,6,6,,,,0,1.81,1.93
12. 05. 2025 -,Carle M.,0,4,2,,,,0,,
12. 05. 2025 16:45,Belgraver J.,2,6,1,7,,,0,3.79,1.25
12. 05. 2025 -,Sun L. (3),1,4,6,6^4,,,0,,
12. 05. 2025 19:10,Martic P.,2,6,2,6,,,0,2.11,1.68
12. 05. 2025 -,Rakotomanga Rajaonah T.,1,2,6,4,,,0,,
12. 05. 2025 -,Parma,S,1,2,3,4,5,H2H,H,A,header
12. 05. 2025 12:50,Mboko V.,2,5,6,6,,,0,1.13,5.67
12. 05. 2025 -,Parrizas-Diaz N.,1,7,4,3,,,0,,
12. 05. 2025 13:20,Waltert S.,2,6,6,,,,0,1.86,1.87
12. 05. 2025 -,Wang X.,0,3,3,,,,0,,
12. 05. 2025 15:35,Begu I. (8),,,,,,,0,,1.44
12. 05. 2025 -,Jimenez Kasintseva V.,,,,,,,0,,
12. 05. 2025 19:20,Ruzic A.,2,6,6,,,,0,1.16,4.89
12. 05. 2025 -,Zantedeschi A.,0,0,2,,,,0,,
12. 05. 2025 20:35,Udvardy P.,,,,,,,0,,1.63
12. 05. 2025 -,Lepchenko V.,,,,,,,0,,
12. 05. 2025 -,UTR Pro Tennis Series 5,S,1,2,3,4,5,H2H,H,A,header
12. 05. 2025 09:00,Smolenova M.,,,,,,,0,,2.45
12. 05. 2025 -,Dvorackova E.,,,,,,,0,,
12. 05. 2025 10:00,Bandurowska X.,2,3,6,6,,,0,6.83,1.05
12. 05. 2025 -,Iamachkine A.,1,6,3,3,,,0,,
12. 05. 2025 10:00,Zuchanska A.,2,6,6,,,,0,1.07,6.50
12. 05. 2025 -,Markovic A.,0,0,0,,,,0,,
12. 05. 2025 11:30,Milicevic K.,2,6,6,,,,0,1.06,6.58
12. 05. 2025 -,Arsic A.,0,0,4,,,,0,,
12. 05. 2025 12:30,Gvozdenovic S.,2,6,6,,,,0,1.05,7.33
12. 05. 2025 -,Sawkings E.,0,1,3,,,,0,,
12. 05. 2025 13:00,Borkop S.,2,6,6,,,,0,1.07,6.25
12. 05. 2025 -,Czapulak E.,0,3,3,,,,0,,
12. 05. 2025 13:00,Spink I.,2,7,6,,,,0,1.09,5.75
12. 05. 2025 -,Ionescu I.,0,5,3,,,,0,,
12. 05. 2025 14:30,Hlahola M.,2,2,6,6,,,0,1.38,2.68
12. 05. 2025 -,Jurna E.,1,6,2,2,,,0,,
12. 05. 2025 14:30,Wysoczanska K.,2,6,6,,,,0,1.24,3.50
12. 05. 2025 -,Lerminiaux P.,0,1,1,,,,0,,
12. 05. 2025 -,Monzon ITF,S,1,2,3,4,5,H2H,H,A,header
12. 05. 2025 14:55,Mdlulwa W.,2,1,6,7,,,0,7.00,1.08
12. 05. 2025 -,De Zeeuw J. (7),1,6,3,5,,,0,,
12. 05. 2025 17:50,Lopez Martinez C.,2,7,7,,,,0,4.07,1.21
12. 05. 2025 -,Berecoechea N. (3),0,5,6^8,,,,0,,
12. 05. 2025 18:32,Cabaj Awad J. (1),,,,,,,0,,1.25
12. 05. 2025 -,Ferrer C.,,,,,,,0,,
12. 05. 2025 -,UTR Pro Match Series,S,1,2,3,4,5,H2H,H,A,header
12. 05. 2025 18:00,Reami A.,,,,,,,0,,1.01
12. 05. 2025 -,Fenton J.,,,,,,,0,,
12. 05. 2025 18:30,Clemons A.,,,,,,,0,,1.65
12. 05. 2025 -,Russell A.,,,,,,,0,,
12. 05. 2025 20:00,Jaramillo S.,,,,,,,0,,1.95
