11. 05. 2025 -,Rome WTA,S,1,2,3,4,5,H2H,H,A,header
11. 05. 2025 11:05,Sabalenka A. (1),2,3,6,6,,,0,1.12,6.48
11. 05. 2025 -,Kenin S. (31),1,6,3,3,,,0,,
11. 05. 2025 11:05,Kostyuk M.,2,6,6,,,,0,1.33,3.30
11. 05. 2025 -,Fernandez L. (24),0,4,2,,,,0,,
11. 05. 2025 13:00,Raducanu E.,2,5,6,6,,,0,1.71,2.13
11. 05. 2025 -,Kudermetova V.,1,7,0,1,,,0,,
11. 05. 2025 13:25,Gauff C. (4),2,7,6,,,,0,1.15,5.49
11. 05. 2025 -,Linette M. (32),0,5,3,,,,0,,
11. 05. 2025 15:25,Andreescu B.,2,6,6,,,,0,4.30,1.22
11. 05. 2025 -,Rybakina E. (11),0,2,4,,,,0,,
11. 05. 2025 18:05,Tauson C. (22),2,3,6,6,,,0,2.31,1.61
11. 05. 2025 -,Navarro E. (10),1,6,0,4,,,0,,
11. 05. 2025 18:40,Zheng Q. (8),2,6,6,,,,0,1.14,5.65
11. 05. 2025 -,Frech M. (26),0,3,2,,,,0,,
11. 05. 2025 19:05,Andreeva M. (7),2,6,7,,,,0,1.30,3.55
11. 05. 2025 -,Noskova L. (30),0,1,5,,,,0,,
11. 05. 2025 -,Prague 2 ITF,S,1,2,3,4,5,H2H,H,A,header
11. 05. 2025 11:10,Jones F. (1),2,6,6,,,,0,1.32,3.02
11. 05. 2025 -,Shibahara E. (2),0,3,4,,,,0,,
11. 05. 2025 -,Saint-Gaudens ITF,S,1,2,3,4,5,H2H,H,A,header
11. 05. 2025 10:10,Boisson L.,2,7,6,,,,0,1.67,2.10
11. 05. 2025 -,Prozorova T. (4),0,6^4,0,,,,0,,
11. 05. 2025 -,Indian Harbour Beach ITF,S,1,2,3,4,5,H2H,H,A,header
11. 05. 2025 19:10,Rodionova A. (1),,,,,,,0,,1.93
11. 05. 2025 -,Karatancheva L.,,,,,,,0,,
11. 05. 2025 -,Boca Raton 6 ITF,S,1,2,3,4,5,H2H,H,A,header
