Time,Masters Cup ATP,S,1,2,3,4,5,H2H,H,A,header
17:30,Rodriguez Taverna Santiago,,,,,,,1,1.39,2.79
-,Fernandez Canovas Andres,,,,,,,1,,
17:30,Sakagawa Hiroki,,,,,,,0,2.60,1.42
-,Jansen William,,,,,,,0,,
17:30,Rodriguez Lorenzo Joaquin,,,,,,,0,1.13,5.08
-,Schiessl Joao Eduardo,,,,,,,0,,
17:30,Soto Matias,,,,,,,0,1.29,3.20
-,Boscardin Dias Pedro,,,,,,,0,,
18:00,Kim Aidan,,,,,,,0,3.72,1.23
-,Fernandes Rodrigo,,,,,,,0,,
18:30,Li Christopher,,,,,,,3,1.54,2.30
-,Pham Derek,,,,,,,3,,
18:30,Jones Adam,,,,,,,0,8.49,1.04
-,Anthrop Jack,,,,,,,0,,
18:30,Reis Da Silva Joao Lucas,,,,,,,0,2.04,1.69
-,Ribeiro Eduardo,,,,,,,0,,
18:30,Nunez Daniel Antonio,,,,,,,0,1.15,4.59
-,Wendler Filho Jefferson,,,,,,,0,,
18:30,Pawlak Piotr,,,,,,,0,1.12,5.31
-,Banerjee Samir,,,,,,,0,,
19:30,Sinha Adit,,,,,,,0,1.12,5.44
-,Von Der Schulenburg Jeffrey,,,,,,,0,,
00:10,Papoe Radu Mihai,2,3,6,6,,,,1.02,10.95
-,Nakashima Bryce Nakashima,1,6,3,0,,,,,
02:25,Thanos Aristotelis,2,6,7,,,,,3.35,1.27
-,Sheldon Mitchell,0,4,64,,,,,,
07:30,Pacheco Mendez Rodrigo,2,7,4,7,,,,4.20,1.18
-,Alvarado Patricio,1,5,6,62,,,,,
07:40,Berger Antoine,2,7,6,,,,,,
-,Rubio Fierros Alan Fernando,0,5,1,,,,,,
07:40,Cekirge Kuzey,2,7,6,,,,,,
-,Nesterov Petr,0,5,4,,,,,,
08:30,Popovic Stefan,2,6,3,6,,,,1.44,2.56
-,Saritas Gokberk,1,2,6,3,,,,,
08:55,Tomescu Dan Alexandru,2,6,6,,,,,1.14,4.83
-,Aksu Cengiz,0,3,4,,,,,,
08:55,Boitan Gabi Adrian,2,7,6,,,,,3.83,1.20
-,Mrva Maxim,0,65,4,,,,,,
09:00,Ionel Nicholas David,2,6,6,,,,,1.16,4.46
-,Chepelev Andrey,0,4,3,,,,,,
09:00,Van Der Meerschen Martin,2,6,6,,,,,2.08,1.66
-,Tiurnev Evgenii,0,4,3,,,,,,
09:00,Safwat Mohamed,2,65,6,6,,,,3.88,1.21
-,Schell Niklas,1,7,4,2,,,,,
09:00,Latinovic Stefan,2,66,6,6,,,,,
-,Elsayed Amr,1,7,3,2,,,,,
09:00,Musitelli Francois,2,7,4,7,,,,1.79,1.89
-,Mikrut Luka,1,5,6,66,,,,,
09:00,Philippov Evgeny,2,7,6,,,,,,
-,Tamm Kristjan,0,5,4,,,,,,
09:30,Demanet Emilien,2,4,6,6,,,,2.33,1.53
-,Vales Amit,1,6,4,2,,,,,
09:30,Dzhavakian Yurii,2,6,6,,,,,1.31,3.03
-,Jones Maximus,0,1,3,,,,,,
09:30,Gschwendtner Jeremy,2,6,6,,,,,1.84,1.84
-,Rivet Maxence,0,3,1,,,,,,
09:30,Sperle John,2,7,7,,,,,1.72,1.99
-,Cazacu Dragos Nicolae,0,66,61,,,,,,
10:00,Poertner Lasse,,,,,,,0,,
-,Andre Seydina,,,,,,,0,,
10:00,Kirkin Ergi,,,,,,,0,,
-,Papamalamis Theo,,,,,,,0,,
10:00,Potenza Luca,2,2,7,7,,,,1.25,3.57
-,Misasi Giannicola,1,6,5,64,,,,,
10:00,Weis Alexander,2,6,5,6,,,,1.89,1.79
-,Brunclik Petr,1,1,7,4,,,,,
10:00,Andaloro Fabrizio,2,6,6,,,,,1.29,3.16
-,Oumaouche Rayane,0,2,2,,,,,,
10:00,Soriano Barrera Adria,2,6,6,,,,,1.06,7.45
-,Hartenstein Jonas Pelle,0,4,1,,,,,,
10:00,Planella Hernandez Sergio,2,6,6,,,,,,
-,Lazaro Juncadella Manel,0,4,2,,,,,,
10:00,Lootsma Niels,2,6,6,,,,,1.39,2.72
-,Setkic Aldin,0,4,4,,,,,,
10:00,Vasami Jacopo,2,7,6,,,,,2.08,1.66
-,Madarasz Gergely,0,65,3,,,,,,
10:30,Speziali Filippo,2,7,6,,,,,1.75,1.94
-,Kukasian Artur,0,62,4,,,,,,
10:30,Vandermeersch Cyril,2,7,1,6,,,,1.83,1.84
-,Ribecai Michele,1,69,6,3,,,,,
11:00,Handel Tim,2,6,6,,,,,1.43,2.60
-,Maksimovic Marko,0,4,1,,,,,,
11:05,Haliak Mikalai,2,6,6,,,,,1.38,2.77
-,Rahmani Kasra,0,3,2,,,,,,
11:10,Milojevic Nikola,2,6,6,,,,,,
-,Safonov Aristarkh,0,4,4,,,,,,
11:40,Martin Manzano Juan Cruz,2,3,6,6,,,,1.99,1.72
-,La Vela Giuseppe,1,6,3,2,,,,,
11:50,Simakin Ilia,2,6,6,,,,,1.08,6.35
-,Markovic Sasa,0,0,3,,,,,,
11:50,Gengel Marek,2,6,6,,,,,1.13,5.00
-,Martin Toby,0,2,2,,,,,,
12:00,Caniato Carlo Alberto,2,6,6,,,,,1.11,5.77
-,Calvano Giovanni,0,2,0,,,,,,
12:15,Knaff Alex,2,6,6,,,,,1.39,2.73
-,Krutykh Oleksii,0,4,1,,,,,,
12:35,Bennour Dit Sahli Anas,2,6,6,,,,,1.32,3.11
-,Bangoura Sekou,0,4,2,,,,,,
12:35,Schoenhaus Max,2,7,6,,,,,1.47,2.47
-,Gentzsch Tom,0,5,1,,,,,,
13:00,Carboni Lorenzo,2,5,6,6,,,,1.11,5.51
-,Antonopoulos Christos,1,7,2,3,,,,,
13:10,Marino Pietro,2,7,6,,,,,1.14,4.94
-,Pennaforti Gabriele,0,5,4,,,,,,
14:05,Tammaro Mariano,2,6,6,,,,,1.28,3.34
-,Valle Federico,0,3,4,,,,,,
14:10,Iannaccone Federico,2,6,7,,,,,1.49,2.44
-,Tabacco Giorgio,0,0,5,,,,,,
14:25,Alcala Gurri Max,,,,,,,0,1.66,2.04
-,Santamarta Roig Andres,,,,,,,0,,
14:25,Fernandez Flores Diego,2,6,6,,,,,1.14,4.40
-,Sanchez Izquierdo Nikolas,0,3,0,,,,,,
14:50,Barreto Sanchez Diego Augusto,2,6,6,,,,,1.52,2.36
-,Donski Alexander,0,2,4,,,,,,
15:00,de Schepper Kenny,1,,,,,,,1.25,3.61
-,Donald Matthew William,0,,,,,,,,
15:00,Bertimon Maxence,,,,,,,0,2.24,1.56
-,Obradovic Dusan,,,,,,,0,,
15:00,Vasilev Alexander,,,,,,,0,4.25,1.18
-,Dalmasso Guillaume,,,,,,,0,,
15:00,Blanch Darwin,2,6,6,,,,,1.07,6.86
-,Manzanera Pertusa Alejandro,0,2,1,,,,,,
15:00,Marti Pujolras Alex,2,6,6,,,,,1.35,2.89
-,Angelini Lorenzo,0,2,3,,,,,,
15:00,Martin Tiffon Pol,2,6,7,,,,,2.43,1.47
-,Pop Darius Florin,0,4,5,,,,,,
15:10,Pujol Navarro Bruno,2,6,6,,,,,1.03,9.32
-,Miletich Iannis,0,3,2,,,,,,
15:30,Damas Miguel,,,,,,,0,1.09,5.89
-,Parisca Ignacio,,,,,,,0,,
15:30,Bertran Peter,,,,,,,0,,
-,Craig Corey,,,,,,,1,,
15:40,Johnston Noah,,,,,,,0,2.23,1.57
-,Jones Miles,,,,,,,0,,
15:55,Dostanic Stefan,,,,,,,1,1.35,2.92
-,Long Dylan (2006),,,,,,,0,,
16:00,Dussault Maximus,,,,,,,0,1.05,7.68
-,Grant William,,,,,,,0,,
16:00,Piraino Gabriele,,,,,,,0,1.16,4.48
-,Tabacco Fausto,,,,,,,0,,
16:00,Zhu Evan,,,,,,,0,1.15,4.41
-,Bancalari Alejandro,,,,,,,0,,
16:10,Perez Brandon,,,,,,,0,1.60,2.16
-,Sonne Tobias,,,,,,,1,,
16:30,Saraiva Dos Santos Paulo Andre,,,,,,,0,3.73,1.24
-,Cordova Francesco,,,,,,,0,,
16:30,Brown Preston,,,,,,,0,3.79,1.21
-,Dlimi Yassine,,,,,,,0,,
16:30,Valiev Ilgiz,1,6,3,,,,0,1.85,1.83
-,Benchakroun Mehdi,0,3,4,,,,0,,
17:00,Ciric Aleksa,,,,,,,0,1.23,3.69
-,Gima Sebastian,,,,,,,0,,
17:00,McCormick Tristan,,,,,,,0,1.30,3.18
-,Horak Ondrej,,,,,,,0,,
17:00,Crespo Piedra Rodrigo,,,,,,,0,3.31,1.28
-,Alujas Rodrigo,,,,,,,0,,
17:00,Alvarado Berrospi Alberto Odiseo,,,,,,,1,2.93,1.33
-,Rodriguez-Pace Ricardo,,,,,,,0,,
17:00,Willwerth Benjamin,,,,,,,0,3.60,1.25
-,Nefve Axel,,,,,,,0,,
17:00,Raquin Leo,,,,,,,0,1.16,4.49
-,Villalon Nicolas,,,,,,,0,,
17:00,Pacheco Mendez Rodrigo,,,,,,,0,1.04,8.48
-,Takamisawa Taketo,,,,,,,0,,
17:15,Hernandez Mariona Kaeri,,,,,,,0,1.82,1.86
-,Stater Alexander,,,,,,,0,,
17:40,Peck Joshua,,,,,,,0,6.90,1.07
-,Fenty Andrew,,,,,,,0,,
17:40,Perez Contri Sergi,,,,,,,0,4.51,1.16
-,Slump Stijn,,,,,,,1,,
20:00,Azkara Arda,,,,,,,0,1.40,2.69
-,Rivera Leyton,,,,,,,0,,
20:00,Meneo Tadeo,,,,,,,0,2.24,1.57
-,Hendrikx Jim,,,,,,,0,,
20:00,Strode Isaiah,,,,,,,0,1.73,1.98
-,Osorio Juan Sebastian,,,,,,,0,,
20:00,Mckennon Maxwell,,,,,,,0,1.08,6.57
-,Pinto Lucca,,,,,,,0,,
21:30,Josserand Mathieu,,,,,,,0,6.12,1.09
-,Brumm Jacob,,,,,,,0,,
21:30,Lage Castelan Lance Amaury,,,,,,,0,10.27,1.02
-,Berger Antoine,,,,,,,0,,
Time,UTR Pro Tennis Series 3,S,1,2,3,4,5,H2H,H,A,header
00:25,Djakouris Antreas,2,6,6,,,,,2.25,1.57
-,Aney Alexander,0,4,3,,,,,,
00:50,Carlsson Halldin Linus,2,6,7,,,,,1.57,2.25
-,Rolland Dominique,0,3,6,,,,,,
01:00,Hussey Giles,2,6,6,,,,,1.08,7.00
-,Shelton Robert,0,2,0,,,,,,
18:05,Morais Diogo,,,,,,,0,2.00,1.73
-,Ventre Alessandro-Damiano,,,,,,,0,,
18:05,Shelton Robert,,,,,,,0,1.83,1.83
-,Liu Lucca,,,,,,,0,,
19:30,Aney Alexander,,,,,,,0,1.57,2.25
-,Boeckli Robin,,,,,,,0,,
19:30,Hussey Giles,,,,,,,0,1.01,15.00
-,Brown Conrad,,,,,,,0,,
21:05,Revelli Giacomo,,,,,,,0,1.44,2.62
-,Sun Qian,,,,,,,0,,
