22. 05. 2025 -,UTR Pro Match Series,S,1,2,3,4,5,header
22. 05. 2025 21:20,Ferrari K.,,,,,,,0,,
22. 05. 2025 -,Singeorzan J.,,,,,,,0,,
22. 05. 2025 -,UTR Pro Tennis Series 5,S,1,2,3,4,5,header
22. 05. 2025 13:50,Cisovska R.,,,,,,,0,,
22. 05. 2025 -,Valentova K.,,,,,,,0,,
22. 05. 2025 14:10,Lukesova N.,,,,,,,0,1.47,2.43
22. 05. 2025 -,Krymlova M.,,,,,,,0,,
22. 05. 2025 -,Strasbourg,S,1,2,3,4,5,header
22. 05. 2025 18:30,Collins D.,1,,,,,,0,1.52,2.51
22. 05. 2025 -,Kalinskaya A.,0,,,,,,0,,
22. 05. 2025 16:30,Samsonova L. (8),2,6,3,6,,,0,2.12,1.71
22. 05. 2025 -,Badosa P. (3),1,4,6,4,,,0,,
22. 05. 2025 13:10,Haddad Maia B. (9),2,3,7,6,,,0,3.22,1.34
22. 05. 2025 -,Navarro E. (2),1,6,6^3,2,,,0,,
22. 05. 2025 11:05,Rybakina E. (4),2,7,6,,,,0,1.23,4.16
22. 05. 2025 -,Linette M.,0,5,3,,,,0,,
22. 05. 2025 -,Rabat,S,1,2,3,4,5,header
22. 05. 2025 16:35,Cristian J.,2,6,6,,,,0,1.58,2.35
22. 05. 2025 -,Sevastova A.,0,3,4,,,,0,,
22. 05. 2025 14:50,Osorio C. (2),2,6,6,,,,0,1.10,6.78
22. 05. 2025 -,Mateas M.,0,3,1,,,,0,,
22. 05. 2025 13:30,Joint M.,2,6,6,,,,0,1.75,2.05
22. 05. 2025 -,Li A. (4),0,2,1,,,,0,,
22. 05. 2025 12:10,Tomljanovic A.,2,6,6,,,,0,2.32,1.60
22. 05. 2025 -,Bouzas Maneiro J. (10),0,1,3,,,,0,,
22. 05. 2025 -,Kursumlijska Banja 5 ITF,S,1,2,3,4,5,header
22. 05. 2025 15:00,Kostovic T.,2,0,6,6,,,0,1.27,3.43
22. 05. 2025 -,Glushkova D.,1,6,1,3,,,0,,
22. 05. 2025 14:40,Charaeva A. (3),2,6,6,,,,0,1.36,2.95
22. 05. 2025 -,Ibragimova A.,0,3,2,,,,0,,
22. 05. 2025 12:10,McNally C. (5),2,6^3,6,6,,,0,1.22,3.68
22. 05. 2025 -,Ristic M.,1,7,2,1,,,0,,
22. 05. 2025 12:00,Bara I. (2),2,5,6,6,,,0,1.32,2.85
22. 05. 2025 -,Prisacariu A.,1,7,3,3,,,0,,
22. 05. 2025 11:50,Kulambayeva Z. (7),2,6,3,6,,,0,2.23,1.56
22. 05. 2025 -,Aksu A.,1,2,6,2,,,0,,
22. 05. 2025 10:00,Karatancheva L. (8),2,6,6,,,,0,1.31,3.17
22. 05. 2025 -,Hatouka Y.,0,2,3,,,,0,,
22. 05. 2025 10:00,Curmi F.,2,6,6,,,,0,2.36,1.52
22. 05. 2025 -,Gao X. (1),0,2,4,,,,0,,
22. 05. 2025 10:00,Siskova A.,2,6,7,,,,0,1.53,2.25
22. 05. 2025 -,Gjorcheska L. (6),0,2,6^2,,,,0,,
22. 05. 2025 -,Pelham ITF,S,1,2,3,4,5,header
22. 05. 2025 22:20,Hu V. (6),2,6,7,,,,0,1.26,3.54
22. 05. 2025 -,Colling S.,0,2,5,,,,0,,
22. 05. 2025 22:15,Ma L. (7),2,6,6,,,,0,1.34,3.04
22. 05. 2025 -,Giavara H.,0,2,1,,,,0,,
22. 05. 2025 20:30,Sahdiieva A.,2,6,6,,,,0,3.40,1.28
22. 05. 2025 -,Brengle M.,0,3,2,,,,0,,
22. 05. 2025 19:35,Lee G.,2,6,4,6,,,0,1.81,1.90
22. 05. 2025 -,Sanchez A. (3),1,1,6,1,,,0,,
22. 05. 2025 18:35,Herrero Linana A.,2,6,7,,,,0,1.61,2.31
22. 05. 2025 -,Rogers A. (2),0,3,6^5,,,,0,,
