Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,54/48,-,12/22,33/19,9/7,-
2024,11/14,-,6/10,5/3,0/1,-
2023,32/21,-,5/8,24/11,3/2,-
2022,11/13,-,1/4,4/5,6/4,-
