Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,53/47,27/27,25/18,1/2,-,-
2024,27/18,12/10,14/7,1/1,-,-
2023,26/27,15/17,11/10,-,-,-
2022,0/2,-,0/1,0/1,-,-
