Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
26.03.,Moeller M.,0,,,,,,"['1', '1', '2', '2', '3', '3', '4', '4', '5', '5']","['1', '3']",[],[],[],2.24
20.03.,Garcian A.,2,,,,,,"['1', '1']","['2', '2', '6', '4']","['2', '4', '4', '4', '5', '5', '7', '5']",[],[],3.91
20.03.,Moeller M.,1,,,,,,"['1', '0', '3', '2', '5', '2']","['2', '1']","['1', '0', '4', '1', '5', '4']",[],[],1.22
18.03.,Moeller M.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '4', '1', '5', '2']",[],[],[],1.79
18.03.,Prihodko O.,0,,,,,,[],"['2', '4']",[],[],[],1.91
14.03.,Perot R.,2,,,,,,"['2', '2', '7', '5']","['3', '3', '5', '3']",[],[],[],2.59
14.03.,Moeller M.,0,,,,,,"['1', '0']","['3', '2']",[],[],[],1.45
13.03.,Moeller M.,2,,,,,,[],"['4', '2', '6', '2']","['2', '0', '5', '1', '6', '2']",[],[],1.07
13.03.,Deflandre L.,1,,,,,,"['4', '2']",[],"['2', '5']",[],[],6.75
22.02.,Sigsgaard C.,2,,,,,,"['5', '3']","['1', '2', '4', '3']",[],[],[],2.16
22.02.,Moeller M.,0,,,,,,[],"['2', '0', '4', '4']",[],[],[],1.63
