Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,565/412,541/366,17/35,6/6,1/5,-
2024,37/20,37/19,0/1,-,-,-
2023,27/34,27/30,0/3,-,0/1,-
2022,23/33,20/29,3/3,-,0/1,-
2021,26/41,26/38,0/2,-,0/1,-
2020,10/13,10/11,0/2,-,-,-
2019,44/33,44/28,0/3,0/2,-,-
2018,31/27,27/22,2/2,1/2,1/1,-
2017,63/24,58/22,0/2,5/0,-,-
2016,48/27,48/26,-,0/1,-,-
2015,40/21,40/21,-,-,-,-
2014,22/22,20/16,2/5,-,0/1,-
2013,50/20,47/18,3/2,-,-,-
2012,51/29,46/27,5/2,-,-,-
2011,41/27,41/23,0/3,0/1,-,-
2010,27/21,25/16,2/5,-,-,-
2009,12/10,12/10,-,-,-,-
2008,0/3,0/3,-,-,-,-
2007,13/7,13/7,-,-,-,-
