Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,135/141,27/34,100/102,5/4,-,3/1
2024,9/5,-,8/3,1/2,-,-
2023,28/29,0/5,25/22,3/1,-,0/1
2022,25/32,6/8,19/24,-,-,-
2021,25/21,1/3,23/18,-,-,1/0
2020,3/6,-,3/6,-,-,-
2019,23/28,12/14,10/13,1/1,-,-
2018,17/14,8/4,7/10,-,-,2/0
2017,4/5,-,4/5,-,-,-
2016,1/1,-,1/1,-,-,-
