Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,102/80,57/46,39/30,-,-,6/4
2024,33/25,22/16,8/7,-,-,3/2
2023,32/19,9/7,20/10,-,-,3/2
2022,5/10,5/9,0/1,-,-,-
2021,9/10,6/6,3/4,-,-,-
2020,15/7,15/7,-,-,-,-
2019,8/8,0/1,8/7,-,-,-
2018,0/1,-,0/1,-,-,-
