Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,455/275,122/72,246/149,66/34,13/16,8/4
2024,24/21,4/7,12/12,1/0,5/2,2/0
2023,23/22,5/5,14/15,3/1,0/1,1/0
2022,44/25,2/5,25/13,17/6,0/1,-
2021,19/26,8/7,5/11,5/5,1/3,-
2020,16/13,2/4,10/6,4/3,-,-
2019,30/24,4/6,19/12,5/3,0/1,2/2
2018,42/23,5/4,33/14,3/3,0/2,1/0
2017,14/12,-,13/9,1/1,-,0/2
2016,52/27,3/4,30/16,14/4,3/3,2/0
2015,50/28,8/6,30/17,8/2,4/3,-
2014,62/25,34/10,23/10,5/5,-,-
2013,36/13,15/3,21/9,0/1,-,-
2012,27/12,19/8,8/4,-,-,-
2011,16/4,13/3,3/1,-,-,-
