Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.08.,Zeuch T.,2,,,,,,"['3', '3', '6', '4']","['1', '1', '3', '5']","['4', '2', '5', '3']",[],[],3.79
27.08.,Barreto Sanchez D. A.,1,,,,,,"['1', '0']","['1', '0', '2', '1', '4', '1']","['3', '4']",[],[],1.23
23.07.,Mazdrashki A.,2,,,,,,"['3', '1', '5', '3']","['2', '1', '6', '3']",[],[],[],-
23.07.,Barreto Sanchez D. A.,0,,,,,,"['3', '4']",[],[],[],[],-
18.07.,McCormick T.,2,,,,,,"['2', '1', '6', '3']","['3', '1', '5', '1', '6', '2']",[],[],[],2.94
18.07.,Barreto Sanchez D. A.,0,,,,,,[],"['2', '5']",[],[],[],1.36
17.07.,Barreto Sanchez D. A.,2,,,,,,"['5', '5', '7', '5']","['2', '0', '4', '0', '6', '2']",[],[],[],1.24
17.07.,Juan Mano A.,0,,,,,,"['3', '2']","['1', '4']",[],[],[],3.72
16.07.,Barreto Sanchez D. A.,2,,,,,,"['3', '1', '5', '1']","['1', '0', '4', '1']",[],[],[],3.54
16.07.,Damas M.,0,,,,,,[],[],[],[],[],1.26
23.06.,Blanch D.,2,,,,,,1,3,51%,64% (29/45),37% (16/43),36% (4/11),52% (30/58),48% (11/23),70% (7/10),49% (43/88),49% (40/81),49% (83/169),8,0,46% (6/13),54% (7/13),50% (13/26),"['1', '0', '3', '0', '5', '0']",[],"['1', '0', '3', '0', '4', '3', '6', '5']",[],[],1.69
23.06.,Barreto Sanchez D. A.,1,,,,,,0,2,72%,50% (29/58),52% (12/23),30% (3/10),40% (18/45),63% (27/43),64% (7/11),51% (41/81),51% (45/88),51% (86/169),2,0,46% (6/13),54% (7/13),50% (13/26),"['1', '5']","['2', '0', '4', '0', '6', '0']","['1', '3', '3', '3', '4', '4']",[],[],2.07
22.06.,Barreto Sanchez D. A.,2,,,,,,0,0,73%,65% (26/40),60% (9/15),33% (1/3),54% (22/41),50% (13/26),71% (5/7),64% (35/55),52% (35/67),57% (70/122),8,0,78% (7/9),56% (5/9),67% (12/18),"['2', '0', '4', '0', '6', '0']","['2', '0', '6', '6']",[],[],[],1.63
22.06.,De La Fuente S.,0,,,,,,0,1,61%,46% (19/41),50% (13/26),29% (2/7),35% (14/40),40% (6/15),67% (2/3),48% (32/67),36% (20/55),43% (52/122),2,1,44% (4/9),22% (2/9),33% (6/18),[],"['2', '3', '6', '5']",[],[],[],2.19
17.06.,Ambrogi L. E.,2,,,,,,2,2,63%,68% (38/56),42% (14/33),55% (6/11),36% (16/45),55% (21/38),50% (6/12),58% (52/89),45% (37/83),52% (89/172),6,0,64% (9/14),43% (6/14),54% (15/28),"['2', '2']","['4', '3', '6', '3']","['2', '2', '4', '2', '6', '4']",[],[],1.56
17.06.,Barreto Sanchez D. A.,1,,,,,,0,2,54%,64% (29/45),45% (17/38),50% (6/12),32% (18/56),58% (19/33),45% (5/11),55% (46/83),42% (37/89),48% (83/172),4,0,57% (8/14),36% (5/14),46% (13/28),"['1', '0', '3', '2', '6', '3']",[],"['1', '0', '4', '5']",[],[],2.33
