https://www.tennisexplorer.com/res/img/player/hvMgX1Zs-2TqqBQiN.jpeg
Seidel Ella
Country: Germany
Age: 19 (14. 2. 2005)
Current/Highest rank - singles: 138. / 133.
Current/Highest rank - doubles: 206. / 203.
Sex: woman
Plays: right
