Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,154/212,83/134,56/64,3/4,-,12/10
2024,9/15,2/8,5/5,-,-,2/2
2023,25/20,17/13,4/5,-,-,4/2
2022,22/21,11/10,8/9,-,-,3/2
2021,17/18,1/4,13/11,3/3,-,-
2020,3/6,3/6,-,-,-,-
2019,14/20,4/10,8/8,-,-,2/2
2018,8/13,0/5,8/8,-,-,-
2017,11/19,11/19,-,-,-,-
2016,13/25,12/23,-,-,-,1/2
2015,5/19,2/8,3/11,-,-,-
2014,7/18,6/15,1/2,0/1,-,-
2013,18/18,12/13,6/5,-,-,-
2012,2/0,2/0,-,-,-,-
