Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,24/28,24/27,-,0/1,-,-
2024,19/17,19/16,-,0/1,-,-
2023,1/4,1/4,-,-,-,-
2022,3/6,3/6,-,-,-,-
2021,1/1,1/1,-,-,-,-
