Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,128/111,38/41,71/51,11/8,8/10,0/1
2024,21/27,7/7,10/16,-,4/4,-
2023,24/31,5/8,16/20,-,3/3,-
2022,34/21,11/9,20/7,2/1,1/3,0/1
2021,27/8,5/2,18/5,4/1,-,-
2020,16/20,7/14,7/3,2/3,-,-
2019,5/2,3/1,-,2/1,-,-
2018,1/2,-,-,1/2,-,-
