Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
27.07.,Andrade da Silva L.,2,,,,,,[],"['2', '0', '5', '1', '6', '2']","['2', '0', '4', '0', '6', '2']",[],[],2.24
27.07.,Ribeiro de Almeida G.,1,,,,,,"['5', '4']","['2', '5']","['1', '4']",[],[],1.59
26.07.,Ribeiro de Almeida G.,2,,,,,,"['1', '0', '3', '2']","['2', '1', '3', '2', '5', '4', '6', '5']",[],[],[],2.20
26.07.,Schiessl J. E.,0,,,,,,"['2', '2']","['2', '2', '3', '3', '5', '5', '6', '6']",[],[],[],1.61
25.07.,Ribeiro de Almeida G.,2,,,,,,"['3', '3', '5', '5']","['1', '0', '3', '0']",[],[],[],1.66
25.07.,Hernandez A.,0,,,,,,"['2', '1', '5', '4']","['1', '3']",[],[],[],2.11
24.07.,Ribeiro de Almeida G.,2,,,,,,"['2', '0', '4', '0', '5', '1']","['2', '1', '4', '1']",[],[],[],1.26
24.07.,Rodrigues N.,0,,,,,,"['1', '4']",[],[],[],[],3.54
22.07.,Ribeiro de Almeida G.,2,,,,,,[],"['4', '2', '6', '2']","['3', '1', '6', '2']",[],[],1.04
22.07.,Meneo T.,1,,,,,,"['5', '3']",[],[],[],[],8.30
12.07.,Justo G. I.,2,,,,,,"['3', '1', '4', '2']","['1', '0', '2', '1']",[],[],[],1.34
12.07.,Ribeiro de Almeida G.,0,,,,,,"['2', '3']","['1', '1', '4', '4']",[],[],[],3.04
11.07.,Ribeiro de Almeida G.,2,,,,,,"['2', '1', '4', '1', '6', '1']","['3', '1', '6', '4']",[],[],[],1.44
11.07.,Martinez T.,0,,,,,,[],"['4', '5']",[],[],[],2.62
10.07.,Ribeiro de Almeida G.,1,,,,,,"['5', '3']","['1', '0']",[],[],[],1.28
10.07.,Aguilar Cardozo F.,0,,,,,,[],[],[],[],[],3.40
04.07.,Justo G. I.,2,,,,,,"['3', '1', '5', '3']","['2', '1', '4', '1']",[],[],[],1.40
04.07.,Ribeiro de Almeida G.,0,,,,,,"['3', '4']",[],[],[],[],2.77
03.07.,Ribeiro de Almeida G.,2,,,,,,"['2', '4', '4', '4']","['1', '0', '3', '0']",[],[],[],2.44
03.07.,De La Fuente S.,0,,,,,,"['1', '0', '4', '1']",[],[],[],[],1.50
01.07.,Ribeiro de Almeida G.,2,,,,,,"['2', '0', '4', '0', '5', '1']","['2', '1', '4', '1', '5', '2']",[],[],[],1.01
01.07.,Castro L. C.,0,,,,,,"['1', '4']","['2', '4']",[],[],[],11.00
26.05.,Reis Da Silva J.,2,,,,,,"['1', '0', '3', '0', '5', '0']","['1', '0', '3', '2']",[],[],[],1.19
26.05.,Ribeiro de Almeida G.,0,,,,,,[],"['1', '1']",[],[],[],4.28
20.05.,Shah A.,2,,,,,,"['4', '4']","['2', '1', '6', '3']",[],[],[],1.97
20.05.,Ribeiro de Almeida G.,0,,,,,,"['2', '1']",[],[],[],[],1.74
23.04.,Gima S.,2,,,,,,"['2', '1']","['2', '1']",[],[],[],1.84
23.04.,Ribeiro de Almeida G.,0,,,,,,[],"['5', '5']",[],[],[],1.86
01.04.,Guillen Meza A.,2,,,,,,1,1,75%,68% (30/44),73% (11/15),0% (0/1),36% (19/53),61% (22/36),20% (3/15),69% (41/59),46% (41/89),55% (82/148),7,0,90% (9/10),30% (3/10),60% (12/20),"['5', '4']","['1', '0', '5', '4']",[],[],[],1.20
01.04.,Ribeiro de Almeida G.,0,,,,,,2,9,60%,64% (34/53),39% (14/36),80% (12/15),32% (14/44),27% (4/15),100% (1/1),54% (48/89),31% (18/59),45% (66/148),3,1,70% (7/10),10% (1/10),40% (8/20),[],"['2', '2']",[],[],[],4.57
28.03.,Midon L.,2,,,,,,"['2', '3', '4', '3', '6', '3']","['2', '0', '4', '0', '6', '0']",[],[],[],1.19
28.03.,Ribeiro de Almeida G.,0,,,,,,"['3', '1']",[],[],[],[],4.23
27.03.,Ribeiro de Almeida G.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '4', '1']",[],[],[],2.69
27.03.,Rodriguez L. J.,0,,,,,,[],[],[],[],[],1.42
25.03.,Ribeiro de Almeida G.,2,,,,,,"['3', '1', '6', '6']","['1', '0', '3', '0']",[],[],[],1.03
25.03.,Grippo V.,0,,,,,,"['4', '5', '6', '5']",[],[],[],[],8.80
19.03.,Kestelboim M.,2,,,,,,1,1,71%,64% (34/53),50% (11/22),83% (5/6),48% (12/25),71% (12/17),83% (5/6),60% (45/75),57% (24/42),59% (69/117),10,0,88% (7/8),63% (5/8),75% (12/16),"['3', '1', '6', '2']","['2', '0', '4', '2', '6', '2']",[],[],[],1.41
