Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
21.05.,Zakaria F.,1,,,,,,"['1', '0', '5', '2']",[],[],[],[],1.41
21.05.,Shimanov O.,0,,,,,,[],[],[],[],[],2.73
01.02.,Shimanov O.,2,,,,,,3,1,62%,69% (37/54),39% (13/33),71% (5/7),27% (13/49),64% (27/42),40% (4/10),58% (49/85),45% (41/91),51% (90/176),5,0,80% (8/10),36% (4/11),57% (12/21),"['5', '5']","['1', '0', '3', '0', '6', '3']","['2', '0', '4', '2', '5', '2', '8', '6', '9', '6', '10', '8']",[],[],-
01.02.,Masur D.,1,,,,,,5,8,54%,73% (36/49),36% (15/42),60% (6/10),31% (17/54),61% (20/33),29% (2/7),55% (50/91),42% (36/85),49% (86/176),5,2,64% (7/11),20% (2/10),43% (9/21),"['3', '2']","['1', '3']","['2', '3', '3', '5', '4', '5']",[],[],-
05.09.2024,Ribecai M.,2,,,,,,"['2', '2', '4', '4', '6', '4']",[],"['2', '1', '4', '1']",[],[],1.38
05.09.2024,Shimanov O.,1,,,,,,"['2', '1', '3', '2']","['2', '1', '6', '3']",[],[],[],2.88
04.09.2024,Shimanov O.,2,,,,,,"['2', '1', '4', '3', '6', '3']","['3', '1', '7', '5']",[],[],[],2.56
04.09.2024,Tammaro M.,0,,,,,,"['3', '3']","['2', '3']",[],[],[],1.47
29.08.2024,Kimhi O.,2,,,,,,"['1', '1', '3', '1']","['2', '1']","['3', '1', '5', '1', '6', '2']",[],[],1.23
29.08.2024,Shimanov O.,1,,,,,,"['1', '0']","['4', '4']","['2', '5']",[],[],3.86
28.08.2024,Shimanov O.,2,,,,,,"['1', '0', '3', '2', '4', '3']","['4', '3', '6', '3']",[],[],[],3.86
28.08.2024,Boros A.,0,,,,,,"['2', '2', '3', '3']",[],[],[],[],1.23
10.09.2023,Kaukovalta P.,2,,,,,,[],[],[],[],[],1.34
10.09.2023,Shimanov O.,1,,,,,,[],[],[],[],[],3.04
09.09.2023,Shimanov O.,2,,,,,,[],[],[],[],[],2.05
09.09.2023,Tammaro M.,1,,,,,,[],[],[],[],[],1.69
08.09.2023,Shimanov O.,2,,,,,,[],[],[],[],[],2.21
08.09.2023,Pecci A.,0,,,,,,[],[],[],[],[],1.61
07.09.2023,Shimanov O.,2,,,,,,[],[],[],[],[],3.73
07.09.2023,Kimhi O.,0,,,,,,[],[],[],[],[],1.24
05.09.2023,Shimanov O.,2,,,,,,[],[],[],[],[],1.24
05.09.2023,Hornung G.,1,,,,,,[],[],[],[],[],3.73
