Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,36/34,-,36/34,-,-,-
2024,14/16,-,14/16,-,-,-
2023,14/10,-,14/10,-,-,-
2022,7/6,-,7/6,-,-,-
2021,1/2,-,1/2,-,-,-
