Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,63/91,4/6,31/46,20/33,-,8/6
2024,8/19,1/3,6/11,0/2,-,1/3
2023,22/25,3/3,9/14,3/5,-,7/3
2022,22/29,-,14/18,8/11,-,-
2021,2/3,-,-,2/3,-,-
2020,6/8,-,-,6/8,-,-
2019,1/2,-,1/2,-,-,-
2015,1/1,-,1/1,-,-,-
2014,0/3,-,-,0/3,-,-
2013,1/1,-,-,1/1,-,-
