Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,560/457,132/127,277/182,132/117,16/27,3/4
2024,23/19,-,23/19,-,-,-
2023,49/31,3/4,39/17,7/9,0/1,-
2022,18/22,4/7,6/12,8/3,-,-
2021,19/28,2/7,8/8,7/9,2/4,-
2020,10/16,0/3,7/9,3/4,-,-
2019,37/30,0/1,20/14,11/11,6/4,-
2018,30/34,9/7,11/14,9/8,1/4,0/1
2017,41/31,1/10,31/9,6/9,3/3,-
2016,33/32,5/7,22/14,5/8,1/2,0/1
2015,57/31,12/10,30/13,13/6,1/1,1/1
2014,35/33,6/6,21/19,7/5,0/3,1/0
2013,24/31,1/6,15/13,5/9,2/2,1/1
2012,47/26,10/10,20/4,17/9,0/3,-
2011,45/27,37/19,7/5,1/3,-,-
2010,40/24,17/13,4/3,19/8,-,-
2009,25/19,13/8,4/5,8/6,-,-
2008,17/15,8/7,4/2,5/6,-,-
2007,10/7,4/2,5/2,1/3,-,-
2006,0/1,-,-,0/1,-,-
