Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,136/86,-,133/86,-,-,3/0
2024,8/7,-,8/7,-,-,-
2022,5/4,-,5/4,-,-,-
2019,11/5,-,11/5,-,-,-
2018,33/18,-,33/18,-,-,-
2017,23/17,-,23/17,-,-,-
2016,34/16,-,31/16,-,-,3/0
2015,17/9,-,17/9,-,-,-
2014,2/7,-,2/7,-,-,-
2013,3/3,-,3/3,-,-,-
