Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
09.07.,Kirci K.,2,,,,,,"['5', '5', '7', '5']",[],"['4', '2', '6', '2']",[],[],-
09.07.,Okamura I.,1,,,,,,"['1', '0']","['1', '0', '5', '2']",[],[],[],-
04.06.,Hara Friend J. D.,2,,,,,,"['4', '3', '6', '3']","['4', '2', '6', '2']",[],[],[],1.13
04.06.,Okamura I.,0,,,,,,[],[],[],[],[],5.10
29.04.,Lomakin G.,2,,,,,,"['5', '4']",[],[],[],[],1.35
29.04.,Okamura I.,1,,,,,,[],[],[],[],[],2.99
22.04.,Yamasaki J.,2,,,,,,"['3', '1']","['1', '0', '2', '1']",[],[],[],1.19
22.04.,Okamura I.,0,,,,,,[],"['1', '1']",[],[],[],4.28
16.04.,Kusuhara Y.,2,,,,,,"['3', '3', '7', '5']","['3', '1', '6', '2']",[],[],[],1.42
16.04.,Okamura I.,0,,,,,,"['3', '2']",[],[],[],[],2.69
04.04.,Saitoh K.,2,,,,,,"['2', '1', '4', '1', '5', '2']","['1', '0', '6', '2']",[],[],[],1.17
04.04.,Okamura I.,0,,,,,,"['2', '4']",[],[],[],[],4.48
01.04.,Okamura I.,2,,,,,,"['1', '0', '5', '2']","['1', '0', '4', '1', '6', '1']",[],[],[],1.20
01.04.,Kono Y.,0,,,,,,[],[],[],[],[],4.09
26.03.,Kumasaka T.,2,,,,,,"['2', '2', '4', '2', '5', '3', '7', '5']","['2', '0', '4', '0']",[],[],[],1.14
26.03.,Okamura I.,0,,,,,,"['2', '1', '3', '4', '4', '5']",[],[],[],[],4.90
19.03.,Nam Ji S.,2,,,,,,"['1', '0', '4', '1', '6', '1']","['3', '1', '5', '1']",[],[],[],1.18
19.03.,Okamura I.,0,,,,,,[],[],[],[],[],4.43
13.03.,Shiraishi H.,2,,,,,,"['1', '0', '3', '0']","['3', '2', '5', '2']",[],[],[],1.07
13.03.,Okamura I.,0,,,,,,[],[],[],[],[],6.75
11.03.,Okamura I.,2,,,,,,[],[],[],[],[],-
11.03.,Tsutsumino R.,1,,,,,,[],[],[],[],[],-
24.02.,Nam Ji S.,2,,,,,,"['1', '0', '3', '0', '5', '2']","['2', '2', '3', '3', '5', '3']",[],[],[],1.12
24.02.,Okamura I.,0,,,,,,"['2', '4', '3', '5', '5', '5']","['2', '1', '3', '2']",[],[],[],5.35
12.02.,Hsu Y. H.,2,,,,,,"['2', '0', '4', '0']","['1', '0', '3', '0', '5', '0']",[],[],[],1.05
12.02.,Okamura I.,0,,,,,,[],[],[],[],[],7.50
11.02.,Okamura I.,2,,,,,,"['1', '0', '3', '0']","['2', '1', '4', '1', '6', '1']",[],[],[],1.10
11.02.,Gorb L.,0,,,,,,[],[],[],[],[],5.85
27.11.2024,Braithwaite T.,2,,,,,,"['5', '3']","['1', '0', '4', '1', '6', '1']",[],[],[],1.35
27.11.2024,Okamura I.,0,,,,,,[],[],[],[],[],2.99
30.10.2024,Nakagawa S.,2,,,,,,"['6', '5']","['4', '3', '6', '3']",[],[],[],1.49
30.10.2024,Okamura I.,0,,,,,,[],[],[],[],[],2.47
26.10.2024,Matsumura R.,2,,,,,,"['2', '0', '4', '2', '6', '2']","['1', '1', '4', '2', '6', '2']",[],[],[],1.37
26.10.2024,Okamura I.,0,,,,,,"['1', '2']","['1', '0']",[],[],[],2.89
22.10.2024,Okamura I.,2,,,,,,"['3', '2', '5', '2']","['1', '0', '2', '1']",[],[],[],3.72
22.10.2024,Oh Chan-Yeong,0,,,,,,[],"['1', '1']",[],[],[],1.24
17.09.2024,Vithoontien L.,2,,,,,,"['3', '2']","['2', '0', '6', '2']","['4', '4']",[],[],1.20
17.09.2024,Okamura I.,1,,,,,,"['3', '3', '5', '3']",[],"['2', '1']",[],[],4.18
04.09.2024,Banerjee S.,2,,,,,,"['5', '3']","['1', '0', '3', '2', '4', '3']",[],[],[],1.23
04.09.2024,Okamura I.,0,,,,,,[],"['2', '2', '3', '3']",[],[],[],3.86
29.08.2024,Zakharov A.,2,,,,,,"['2', '0']","['4', '3', '6', '3']",[],[],[],1.06
29.08.2024,Okamura I.,0,,,,,,[],[],[],[],[],7.70
27.08.2024,Okamura I.,2,,,,,,"['2', '1', '3', '2', '5', '2']","['3', '2', '5', '2']",[],[],[],3.37
27.08.2024,Nishiwaki K.,0,,,,,,"['2', '2']","['3', '5']",[],[],[],1.29
