Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,20/21,-,20/20,0/1,-,-
2024,11/8,-,11/8,-,-,-
2023,5/6,-,5/6,-,-,-
2022,4/6,-,4/6,-,-,-
2019,0/1,-,-,0/1,-,-
