Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,16/19,-,4/5,7/5,-,5/9
2024,4/11,-,1/3,1/2,-,2/6
2023,9/7,-,3/2,3/2,-,3/3
2022,3/1,-,-,3/1,-,-
