Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,219/134,130/68,73/40,9/21,4/4,3/1
2024,27/22,10/9,16/11,-,1/2,-
2023,51/26,23/7,21/15,1/2,3/1,3/1
2022,50/36,37/21,9/3,4/11,0/1,-
2021,56/25,51/19,2/1,3/5,-,-
2020,22/11,5/3,16/5,1/3,-,-
2019,6/12,4/9,2/3,-,-,-
2018,7/2,-,7/2,-,-,-
