Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds

ATP - SINGLES :  Cincinnati (USA),hard,header
15.08. 01:55,Arnaldi M.,1,3,7^7,2,,,9,8,50%,68% (30/44),41% (18/44),42% (5/12),33% (18/54),44% (18/41),33% (3/9),29,23,53% (9/17),10,55% (48/88),38% (36/95),46% (84/183),3,53% (8/15),21% (3/14),38% (11/29),"['1', '4', '6']","['2', '5']","['2', '5']",[],[],2.10
15.08. 01:55,Etcheverry T. M.,2,6,6^3,6,,,4,2,57%,67% (36/54),56% (23/41),67% (6/9),32% (14/44),59% (26/44),58% (7/12),31,16,60% (28/47),11,62% (59/95),45% (40/88),54% (99/183),6,79% (11/14),47% (7/15),62% (18/29),['2'],"['1', '5', '3', '6']",[],[],[],1.74
ATP - SINGLES :  Montreal (Canada),hard,header
12.08. 02:45,Arnaldi M.,0,4,2,,,,2,1,49%,65% (17/26),52% (14/27),0% (0/3),21% (7/34),39% (7/18),0% (0/1),10,13,100% (5/5),5,58% (31/53),27% (14/52),43% (45/105),1,67% (6/9),0% (0/9),33% (6/18),['2'],"['3', '5']",[],[],[],1.29
12.08. 02:45,Rublev A.,2,6,6,,,,4,1,65%,79% (27/34),61% (11/18),100% (1/1),35% (9/26),48% (13/27),100% (3/3),17,10,82% (14/17),7,73% (38/52),42% (22/53),57% (60/105),5,100% (9/9),33% (3/9),67% (12/18),[],[],[],[],[],3.74
11.08. 08:15,Arnaldi M.,2,6,7,,,,5,5,48%,74% (26/35),45% (17/38),67% (4/6),42% (22/52),46% (11/24),44% (4/9),22,15,58% (7/12),5,59% (43/73),43% (33/76),51% (76/149),5,82% (9/11),36% (4/11),59% (13/22),['3'],['2'],[],[],[],1.56
11.08. 08:15,Nishikori K.,0,4,5,,,,0,1,68%,58% (30/52),54% (13/24),56% (5/9),26% (9/35),55% (21/38),33% (2/6),16,19,73% (22/30),8,57% (43/76),41% (30/73),49% (73/149),3,64% (7/11),18% (2/11),41% (9/22),"['3', '6']","['2', '7']",[],[],[],2.45
10.08. 22:00,Davidovich Fokina A.,1,6,6^5,0,,,2,5,64%,57% (32/56),52% (16/31),44% (4/9),33% (16/48),49% (24/49),29% (4/14),24,28,63% (25/40),5,55% (48/87),41% (40/97),48% (88/184),4,62% (8/13),33% (4/12),48% (12/25),['2'],"['1', '2', '2', '3']","['1', '3']",[],[],1.68
10.08. 22:00,Arnaldi M.,1,4,7^7,3,,,4,7,49%,67% (32/48),51% (25/49),71% (10/14),43% (24/56),48% (15/31),56% (5/9),26,25,83% (20/24),5,59% (57/97),45% (39/87),52% (96/184),4,67% (8/12),38% (5/13),52% (13/25),"['2', '4']","['1', '2', '1']",[],[],[],2.22
