Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ATP - SINGLES Wimbledon (United Kingdom) - Qualification,grass,header
22.06.2022,Vilella M. M.,0,,,,,,2,2,64%,39% (7/18),40% (4/10),50% (4/8),17% (2/12),25% (2/8),0% (0/0),5,12,25% (2/8),39% (11/28),20% (4/20),31% (15/48),20% (1/5),0% (0/4),11% (1/9),[],[],[],[],[],0
22.06.2022,Kolar Z.,1,,,,,,1,0,60%,83% (10/12),75% (6/8),0% (0/0),61% (11/18),60% (6/10),50% (4/8),9,2,86% (6/7),80% (16/20),61% (17/28),69% (33/48),100% (4/4),80% (4/5),89% (8/9),[],[],[],[],[],0
20.06.2022,Vilella M. M.,2,,,,,,5,8,56%,85% (33/39),48% (15/31),75% (3/4),28% (11/39),58% (15/26),60% (3/5),21,31,50% (5/10),69% (48/70),40% (26/65),55% (74/135),90% (9/10),30% (3/10),60% (12/20),[],[],[],[],[],0
20.06.2022,Celikbilek A.,0,,,,,,4,7,60%,72% (28/39),42% (11/26),40% (2/5),15% (6/39),52% (16/31),25% (1/4),16,30,36% (4/11),60% (39/65),31% (22/70),45% (61/135),70% (7/10),10% (1/10),40% (8/20),[],[],[],[],[],0
ATP - SINGLES French Open (France) - Qualification,clay,header
16.05.2022,Vilella M. M.,0,,,,,,3,3,62%,52% (24/46),64% (18/28),40% (2/5),28% (13/46),24% (4/17),50% (1/2),20,30,57% (42/74),27% (17/63),43% (59/137),73% (8/11),9% (1/11),41% (9/22),[],[],[],[],[],0
16.05.2022,Vukic A.,2,,,,,,6,1,73%,72% (33/46),76% (13/17),50% (1/2),48% (22/46),36% (10/28),60% (3/5),23,23,73% (46/63),43% (32/74),57% (78/137),91% (10/11),27% (3/11),59% (13/22),[],[],[],[],[],0
CHALLENGER MEN - SINGLES Marbella (Spain),clay,header
28.03.2022,Vilella M. M.,0,,,,,,0,5,62%,52% (16/31),26% (5/19),55% (6/11),6% (1/17),14% (2/14),0% (0/0),42% (21/50),10% (3/31),30% (24/81),38% (3/8),0% (0/7),20% (3/15),[],[],[],[],[],0
28.03.2022,Hanfmann Y.,2,,,,,,3,0,55%,94% (16/17),86% (12/14),0% (0/0),48% (15/31),74% (14/19),45% (5/11),90% (28/31),58% (29/50),70% (57/81),100% (7/7),63% (5/8),80% (12/15),[],[],[],[],[],0
ATP - SINGLES Buenos Aires (Argentina) - Qualification,clay,header
06.02.2022,Vilella M. M.,1,,,,,,3,7,68%,59% (39/66),52% (16/31),0% (0/5),35% (27/77),39% (15/38),36% (5/14),57% (55/97),40% (46/115),48% (101/212),67% (10/15),31% (5/16),48% (15/31),[],[],[],[],[],0
06.02.2022,Hanfmann Y.,2,,,,,,3,4,67%,65% (50/77),50% (19/38),64% (9/14),41% (27/66),26% (8/31),100% (5/5),60% (69/115),43% (42/97),52% (111/212),69% (11/16),33% (5/15),52% (16/31),[],[],[],[],[],0
ATP - SINGLES Australian Open (Australia) - Qualification,hard,header
12.01.2022,Vilella M. M.,1,,,,,,7,7,56%,68% (43/63),49% (24/49),67% (6/9),25% (14/55),33% (14/42),43% (3/7),23,51,60% (3/5),60% (67/112),33% (32/97),47% (99/209),81% (13/16),19% (3/16),50% (16/32),[],[],[],[],[],0
12.01.2022,Ymer E.,2,,,,,,6,4,57%,75% (41/55),57% (24/42),57% (4/7),32% (20/63),37% (18/49),33% (3/9),29,43,74% (17/23),67% (65/97),40% (45/112),53% (110/209),81% (13/16),19% (3/16),50% (16/32),[],[],[],[],[],0
10.01.2022,Vilella M. M.,2,,,,,,7,3,51%,79% (22/28),56% (15/27),75% (3/4),41% (12/29),30% (6/20),80% (4/5),32,31,70% (7/10),67% (37/55),45% (22/49),57% (59/104),89% (8/9),50% (4/8),71% (12/17),[],[],[],[],[],0
10.01.2022,Sela D.,0,,,,,,2,4,59%,59% (17/29),50% (10/20),20% (1/5),21% (6/28),33% (9/27),25% (1/4),18,17,23% (3/13),55% (27/49),33% (18/55),43% (45/104),50% (4/8),11% (1/9),29% (5/17),[],[],[],[],[],0
