Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,95/99,74/76,21/23,-,-,-
2024,19/13,16/11,3/2,-,-,-
2023,6/5,4/3,2/2,-,-,-
2022,17/26,15/21,2/5,-,-,-
2021,30/27,28/23,2/4,-,-,-
2020,0/6,0/5,0/1,-,-,-
2019,11/6,6/3,5/3,-,-,-
2018,4/6,2/5,2/1,-,-,-
2017,8/9,3/5,5/4,-,-,-
2016,0/1,-,0/1,-,-,-
