Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,65/17,13/5,49/10,3/2,-,-
2024,12/3,-,12/3,-,-,-
2023,33/8,4/3,29/5,-,-,-
2022,18/5,9/2,8/2,1/1,-,-
2021,2/1,-,-,2/1,-,-
