Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,284/216,16/14,176/113,63/49,29/40,-
2024,12/10,-,1/1,10/6,1/3,-
2023,33/21,-,25/15,8/6,-,-
2022,23/8,-,20/7,3/1,-,-
2021,3/0,-,-,3/0,-,-
2020,15/12,-,11/5,4/7,-,-
2019,13/12,-,11/8,0/2,2/2,-
2018,26/28,2/2,17/19,0/1,7/6,-
2017,26/26,0/1,16/18,6/1,4/6,-
2016,31/26,2/2,17/14,2/1,10/9,-
2015,31/28,5/6,22/13,3/2,1/7,-
2014,38/25,-,20/9,14/12,4/4,-
2013,30/14,7/2,16/4,7/7,0/1,-
2012,3/4,-,-,3/2,0/2,-
2011,0/2,0/1,-,0/1,-,-
