Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,586/356,242/130,202/154,92/38,28/28,22/6
2024,1/5,0/2,0/1,-,-,1/2
2023,17/22,11/9,6/10,0/2,0/1,-
2022,29/19,10/4,15/11,3/1,1/3,-
2021,23/14,6/4,16/8,1/1,0/1,-
2020,19/5,6/1,3/3,10/1,-,-
2019,26/14,6/3,10/8,9/2,1/1,-
2018,30/14,13/5,14/6,-,3/3,-
2017,28/5,10/1,7/1,10/2,1/1,-
2016,9/6,8/5,1/1,-,-,-
2015,24/19,3/6,15/8,3/3,0/1,3/1
2014,31/21,13/6,14/12,0/1,1/2,3/0
2013,22/11,15/6,3/2,0/1,4/2,-
2012,25/9,12/3,11/5,2/1,-,-
2011,27/19,7/5,9/8,10/2,0/3,1/1
2010,50/19,20/3,13/12,2/1,12/2,3/1
2009,21/22,5/6,10/14,1/1,0/1,5/0
2008,45/22,15/7,24/11,1/1,2/3,3/0
2007,21/24,12/11,6/8,2/3,1/2,-
2006,29/26,9/10,6/11,11/3,0/1,3/1
2005,42/18,28/9,8/4,6/5,-,-
2004,19/9,3/4,2/3,14/2,-,-
2003,36/17,23/9,4/2,7/5,2/1,-
2002,11/14,7/10,4/4,-,-,-
2001,1/2,0/1,1/1,-,-,-
