Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,398/242,104/55,137/113,86/37,53/24,18/13
2024,31/19,6/5,14/10,4/0,5/3,2/1
2023,37/22,7/4,22/16,-,8/2,-
2022,34/19,2/3,19/10,3/3,8/3,2/0
2021,31/19,5/4,12/9,6/4,8/2,-
2020,10/10,4/3,3/4,1/2,-,2/1
2019,26/28,3/7,8/14,10/2,4/3,1/2
2018,28/22,3/4,12/14,1/1,7/2,5/1
2017,50/21,21/4,21/11,1/3,5/2,2/1
2016,24/32,3/6,11/16,5/4,4/4,1/2
2015,49/21,10/6,11/5,22/5,4/3,2/2
2014,43/17,29/5,1/2,12/7,-,1/3
2013,16/5,2/2,3/2,11/1,-,-
2012,19/7,9/2,-,10/5,-,-
