Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,40/24,34/14,4/4,2/6,-,-
2024,10/4,10/4,-,-,-,-
2023,26/15,21/8,3/2,2/5,-,-
2022,4/3,3/1,1/2,-,-,-
2021,0/2,0/1,-,0/1,-,-
