Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,114/90,96/67,10/16,8/7,-,-
2024,33/18,30/14,0/2,3/2,-,-
2023,30/28,30/25,0/2,0/1,-,-
2022,27/26,21/17,3/6,3/3,-,-
2021,22/13,15/9,7/4,-,-,-
2020,2/1,-,-,2/1,-,-
2017,0/1,-,0/1,-,-,-
2016,0/3,0/2,0/1,-,-,-
