Date&Time,Name,Final Scores,Set1,Set2,Set3,Set4,Set5,Aces,Double Faults,1st Serve Percentage,1st Serve Points Won,2nd Serve Points Won,Break Points Saved,1st Return Points Won,2nd Return Points Won,Break Points Converted,Winners,Unforced Errors,Net Points Won,Max Points In Row,Service Points Won,Return Points Won,Total Points Won,Max Games In Row,Service Games Won,Return Games Won,Total Games Won,PBP(Set1),PBP(Set2),PBP(Set3),PBP(Set4),PBP(Set5),odds
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 9 (Italy),clay,header
02.10. 14:55,Weis A.,0,5,4,,,,"['1', '0', '3', '0']","['2', '1']",[],[],[],1.73
02.10. 14:55,Cadenasso G.,2,7,6,,,,"['3', '5', '5', '5', '7', '5']","['4', '4', '6', '4']",[],[],[],2.00
30.09. 19:10,Weis A.,2,6,6,,,,"['1', '0', '4', '3', '6', '3']","['3', '1']",[],[],[],1.33
30.09. 19:10,Pieri S.,0,3,3,,,,"['1', '1']",[],[],[],[],3.09
ITF MEN - SINGLES :  M25 Santa Margherita di Pula 8 (Italy),clay,header
24.09. 17:50,Weis A.,1,6,2,4,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['1', '0', '3', '0']","['2', '3']","['1', '2', '4', '5']",[],[],1.54
24.09. 17:50,Guerrieri A.,2,2,6,6,,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,[],"['2', '0', '4', '2', '6', '2']","['2', '0', '4', '2', '6', '4']",[],[],2.35
CHALLENGER MEN - SINGLES :  Genova (Italy),clay,header
CHALLENGER MEN - SINGLES :  Genova (Italy),clay,header
02.09. 15:05,Weis A.,0,5,6^6,,,,1,3,55%,63% (32/51),40% (17/42),67% (10/15),37% (26/70),57% (16/28),31% (4/13),7,53% (49/93),43% (42/98),48% (91/191),4,58% (7/12),33% (4/12),46% (11/24),"['2', '2']","['1', '1', '2', '2', '4', '2']",[],[],[],1.89
02.09. 15:05,Bueno G.,2,7,7^8,,,,0,4,71%,63% (44/70),43% (12/28),69% (9/13),37% (19/51),60% (25/42),33% (5/15),6,57% (56/98),47% (44/93),52% (100/191),4,67% (8/12),42% (5/12),54% (13/24),"['2', '1', '6', '5']","['1', '0', '2', '1', '4', '5']",[],[],[],1.85
CHALLENGER MEN - SINGLES :  Como (Italy),clay,header
27.08. 20:05,Weis A.,1,4,6,4,,,5,3,68%,60% (35/58),56% (15/27),44% (4/9),30% (16/53),56% (23/41),31% (4/13),9,59% (50/85),41% (39/94),50% (89/179),4,67% (10/15),29% (4/14),48% (14/29),"['1', '1']","['2', '0', '4', '0']","['3', '4']",[],[],0
27.08. 20:05,Misolic F.,2,6,3,6,,,0,5,56%,70% (37/53),44% (18/41),69% (9/13),40% (23/58),44% (12/27),56% (5/9),8,59% (55/94),41% (35/85),50% (90/179),3,71% (10/14),33% (5/15),52% (15/29),"['1', '0', '4', '3']","['1', '4']","['2', '0', '6', '4']",[],[],0
CHALLENGER MEN - SINGLES :  Como (Italy) - Qualification,clay,header
26.08. 14:40,Weis A.,1,2,6,6^5,,,1,5,57%,60% (28/47),60% (21/35),33% (2/6),31% (18/59),56% (19/34),44% (4/9),7,60% (49/82),40% (37/93),49% (86/175),5,71% (10/14),31% (4/13),52% (14/27),[],"['2', '0', '4', '0']","['1', '0', '3', '4']",[],[],2.00
26.08. 14:40,Rehberg M. H.,2,6,1,7^7,,,2,3,63%,69% (41/59),44% (15/34),56% (5/9),40% (19/47),40% (14/35),67% (4/6),9,60% (56/93),40% (33/82),51% (89/175),4,69% (9/13),29% (4/14),48% (13/27),"['1', '0', '3', '0']",[],"['2', '2', '4', '2']",[],[],1.73
25.08. 13:40,Weis A.,2,6,6,,,,1,4,47%,96% (22/23),62% (16/26),0% (0/0),41% (17/41),56% (9/16),50% (3/6),7,78% (38/49),46% (26/57),60% (64/106),5,100% (9/9),38% (3/8),71% (12/17),"['2', '0', '4', '0']","['3', '2']",[],[],[],1.02
25.08. 13:40,Readelli T.,0,1,4,,,,0,6,72%,59% (24/41),44% (7/16),50% (3/6),4% (1/23),38% (10/26),0% (0/0),3,54% (31/57),22% (11/49),40% (42/106),1,63% (5/8),0% (0/9),29% (5/17),[],[],[],[],[],11.30
