Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,485/352,187/154,97/56,190/125,11/17,-
2024,13/21,0/3,9/11,1/3,3/4,-
2023,36/31,0/5,22/12,11/8,3/6,-
2022,51/27,4/7,25/6,18/11,4/3,-
2021,25/21,5/10,10/3,10/7,0/1,-
2020,12/16,1/5,6/4,5/7,-,-
2019,30/29,15/12,10/6,5/10,0/1,-
2018,49/29,9/9,7/2,32/17,1/1,-
2017,49/28,28/20,-,21/8,-,-
2016,42/25,28/17,1/2,13/5,0/1,-
2015,52/30,28/15,4/3,20/12,-,-
2014,43/31,32/19,0/2,11/10,-,-
2013,51/35,19/16,1/3,31/16,-,-
2012,26/19,15/11,2/2,9/6,-,-
2011,4/7,3/5,-,1/2,-,-
2010,0/2,-,-,0/2,-,-
2009,2/1,-,-,2/1,-,-
