Year,Summary,Clay,Hard,Indoors,Grass,Not,set
Summary:,66/79,51/57,15/22,-,-,-
2024,17/25,13/19,4/6,-,-,-
2023,31/32,25/24,6/8,-,-,-
2022,16/18,11/10,5/8,-,-,-
2021,2/4,2/4,-,-,-,-
